event_id,node_id,source_name,source_tier_nominal,source_tier_actual,layer,file_stage,start_utc,end_utc,file_path,row_count,sha256,url_or_query,created_utc,downloaded_at_utc,notes,coverage_pct,sequence_gap_count,gap_rate,resync_count,clock_offset_ms
terra_luna_2022,usdt_binance,real_Binance_tier_B,A,B,CEX,bronze,2022-05-01T00:00:00Z,2022-05-31T23:59:59Z,data/bronze/terra_luna_2022/usdt_binance_books.parquet,44640,a7b3bdffa874f32fc7cd0710e712b1e3843a2ec4c7b37a89a0fe849057adefe0,real://Binance,2026-05-31T06:01:23.594373+00:00,2026-05-31T06:01:23.594373+00:00,Real Binance data ingested (Tier B).,,,,,
terra_luna_2022,ust_binance,real_Binance_tier_B,B,B,CEX,bronze,2022-05-01T00:00:00Z,2022-05-31T23:59:59Z,data/bronze/terra_luna_2022/ust_binance_books.parquet,17330,75f21766e9be0b503fe9445b339a78b771aa43b228ece62661183e07b33bd573,real://Binance,2026-05-31T06:01:42.621823+00:00,2026-05-31T06:01:42.621823+00:00,Real Binance data ingested (Tier B).,,,,,
terra_luna_2022,curve_3pool,deterministic_pipeline_fixture,A,fixture_non_empirical,DEX,bronze,2022-05-01T00:00:00Z,2022-05-31T23:59:59Z,data/bronze/terra_luna_2022/curve_3pool_pool_events.parquet,864,8ec06c6e6ab11456b49d204a3f5d57ec1f297529d3695a5b5d7b517745fdd11d,fixture://deterministic_pipeline_fixture,2026-05-31T06:01:42.634599+00:00,2026-05-31T06:01:42.634599+00:00,Generated fixture for pipeline validation only; not empirical evidence.,,,,,
terra_luna_2022,curve_ust_wormhole,deterministic_pipeline_fixture,A,fixture_non_empirical,DEX,bronze,2022-05-01T00:00:00Z,2022-05-31T23:59:59Z,data/bronze/terra_luna_2022/curve_ust_wormhole_pool_events.parquet,864,8ec06c6e6ab11456b49d204a3f5d57ec1f297529d3695a5b5d7b517745fdd11d,fixture://deterministic_pipeline_fixture,2026-05-31T06:01:42.646526+00:00,2026-05-31T06:01:42.646526+00:00,Generated fixture for pipeline validation only; not empirical evidence.,,,,,
terra_luna_2022,usdt_binance,silver_reconstruction_from_books,A,B,CEX,silver,2022-05-01T00:00:00Z,2022-05-31T23:59:59Z,data/silver/terra_luna_2022/usdt_binance_books.parquet,44640,fc4e80962089451ded31875c04eb652f91fb2aaf2d070925bb98099e9a06d164,data/bronze/terra_luna_2022/usdt_binance_books.parquet,2026-05-31T06:01:42.995071+00:00,2026-05-31T06:01:42.995071+00:00,Standardized silver output from usdt_binance_books.parquet.,99.9977972408762,,,,
terra_luna_2022,ust_binance,silver_reconstruction_from_books,B,B,CEX,silver,2022-05-01T00:00:00Z,2022-05-31T23:59:59Z,data/silver/terra_luna_2022/ust_binance_books.parquet,17330,196e1be1af614cfc269d23af4a9f79a6189ec40f539f32f090040551eeec7d6d,data/bronze/terra_luna_2022/ust_binance_books.parquet,2026-05-31T06:01:43.029688+00:00,2026-05-31T06:01:43.029688+00:00,Standardized silver output from ust_binance_books.parquet.,38.82082943961435,,,,
terra_luna_2022,curve_3pool,silver_reconstruction_from_pool_states,A,fixture_non_empirical,DEX,silver,2022-05-01T00:00:00Z,2022-05-31T23:59:59Z,data/silver/terra_luna_2022/curve_3pool_pool_states.parquet,864,7678e14660f345d0d87410c6fe3b89f2ab648f5c54364d6b945a3a03fcf71a29,data/bronze/terra_luna_2022/curve_3pool_pool_events.parquet,2026-05-31T06:01:43.040742+00:00,2026-05-31T06:01:43.040742+00:00,Standardized silver output from curve_3pool_pool_events.parquet.,9.676339148220835,,,,
terra_luna_2022,curve_ust_wormhole,silver_reconstruction_from_pool_states,A,fixture_non_empirical,DEX,silver,2022-05-01T00:00:00Z,2022-05-31T23:59:59Z,data/silver/terra_luna_2022/curve_ust_wormhole_pool_states.parquet,864,7678e14660f345d0d87410c6fe3b89f2ab648f5c54364d6b945a3a03fcf71a29,data/bronze/terra_luna_2022/curve_ust_wormhole_pool_events.parquet,2026-05-31T06:01:43.049633+00:00,2026-05-31T06:01:43.049633+00:00,Standardized silver output from curve_ust_wormhole_pool_events.parquet.,9.676339148220835,,,,
terra_luna_2022,__event_panel__,gold_panel_builder,mixed,mixed,gold_panel,gold,2022-05-01T00:00:00Z,2022-05-31T23:59:59Z,data/gold/dataset_contagion_features_terra_luna_2022.parquet,63698,37629379d0decfdcaa0e633bca5a3ae0eeee25e04718c0e8425fa05d7bbc5a69,silver://event_nodes,2026-05-31T06:01:43.468038+00:00,2026-05-31T06:01:43.468038+00:00,Gold event feature panel assembled from silver node states.,,,,,
terra_luna_2022,usdt_binance,real_Binance_tier_B,A,B,CEX,bronze,2022-04-15T00:00:00Z,2022-05-31T23:59:59Z,data\bronze\terra_luna_2022\usdt_binance_books.parquet,67680,8a50d084c34071a95b2043796f43a418dc2b627a596c30949b8aaab80e6baa59,real://Binance,2026-06-04T06:40:58.036249+00:00,2026-06-04T06:40:58.036249+00:00,Real Binance data ingested (Tier B).,,,,,
