event_id,node_i,node_j,feature_col,method,peak_lag_seconds,peak_corr,p_value,p_value_fdr,significant_fdr,significant_bonferroni,significant_p01,claim_level,claim_language,claim_sentence,provenance_claim_allowed,statistical_claim_allowed,paper_claim_allowed,claim_strength,fevd_share,te_i_to_j,significant_block_fdr
terra_luna_2022,curve_3pool,curve_ust_wormhole,usdc_net_sold_1h,table_leadlag_tests,10800,-0.07185045673866271,1.0,1.0,false,false,false,A_A_dex_flow,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_ust_wormhole.,true,false,false,suggestive,,,
terra_luna_2022,curve_ust_wormhole,curve_3pool,usdc_net_sold_1h,table_leadlag_tests,-10800,-0.07185045673866272,1.0,1.0,false,false,false,A_A_dex_flow,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_ust_wormhole to curve_3pool.,true,false,false,suggestive,,,
usdt_curve_2023,curve_3pool,curve_crvusd_usdt,usdc_net_sold_1h,table_leadlag_tests,0,0.38573739685614267,0.007,0.007,true,true,true,A_A_dex_flow,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_crvusd_usdt.,true,true,true,robust,,,
usdt_curve_2023,curve_crvusd_usdt,curve_3pool,usdc_net_sold_1h,table_leadlag_tests,0,0.3857373968561426,0.0,0.0,true,true,true,A_A_dex_flow,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_crvusd_usdt to curve_3pool.,true,true,true,robust,,,
usdc_svb_2023,curve_3pool,curve_3pool,,table_var_spillovers,,,,,,,,A_A_dex_flow,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_3pool.,true,false,false,suggestive,0.019480536633755326,,
terra_luna_2022,curve_3pool,curve_3pool,,table_var_spillovers,,,,,,,,A_A_dex_flow,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_3pool.,true,false,false,suggestive,0.026761198081296143,,
terra_luna_2022,curve_ust_wormhole,curve_3pool,,table_var_spillovers,,,,,,,,A_A_dex_flow,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_ust_wormhole to curve_3pool.,true,false,false,suggestive,0.9443680378338231,,
terra_luna_2022,curve_3pool,curve_ust_wormhole,,table_var_spillovers,,,,,,,,A_A_dex_flow,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_ust_wormhole.,true,false,false,suggestive,0.027234492481810573,,
terra_luna_2022,curve_ust_wormhole,curve_ust_wormhole,,table_var_spillovers,,,,,,,,A_A_dex_flow,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_ust_wormhole to curve_ust_wormhole.,true,false,false,suggestive,0.9150411187133402,,
usdt_curve_2023,curve_crvusd_usdt,curve_crvusd_usdt,,table_var_spillovers,,,,,,,,A_A_dex_flow,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_crvusd_usdt to curve_crvusd_usdt.,true,false,false,suggestive,0.00993432268035821,,
