table,event_id,status,rows,blocked_rows,fixture_or_missing_rows,claimable_rows,paper_claimable_rows
table_granger_busd_2023.csv,multi,annotated,6,0,0,6,1
table_granger_ftx_2022.csv,multi,annotated,6,0,0,6,5
table_granger_terra_luna_2022.csv,multi,annotated,12,0,0,12,1
table_granger_usdc_svb_2023.csv,multi,annotated,6,0,0,6,4
table_granger_usdt_curve_2023.csv,multi,annotated,6,0,0,6,1
table_leadlag_tests.csv,multi,annotated,48,0,0,48,24
table_leadlag_tests_busd_2023.csv,multi,annotated,12,0,0,12,8
table_leadlag_tests_ftx_2022.csv,multi,annotated,6,0,0,6,4
table_leadlag_tests_terra_luna_2022.csv,multi,annotated,2,0,0,2,0
table_leadlag_tests_usdc_svb_2023.csv,multi,annotated,12,0,0,12,8
table_leadlag_tests_usdt_curve_2023.csv,multi,annotated,2,0,0,2,2
table_sparse_events_usdc_svb_2023.csv,multi,skipped_no_edge_columns,6,0,0,0,0
table_transfer_entropy.csv,multi,annotated,48,0,0,48,27
table_transfer_entropy_busd_2023.csv,multi,annotated,12,0,0,12,9
table_transfer_entropy_ftx_2022.csv,multi,annotated,6,0,0,6,5
table_transfer_entropy_terra_luna_2022.csv,multi,annotated,12,0,0,12,6
table_transfer_entropy_usdc_svb_2023.csv,multi,annotated,12,0,0,12,6
table_transfer_entropy_usdt_curve_2023.csv,multi,annotated,6,0,0,6,1
table_tvp_var_spillovers_busd_2023.csv,multi,annotated,80,0,0,80,0
table_tvp_var_spillovers_ftx_2022.csv,multi,annotated,207,0,0,207,0
table_tvp_var_spillovers_terra_luna_2022.csv,multi,annotated,80,0,0,80,0
table_tvp_var_spillovers_usdc_svb_2023.csv,multi,annotated,80,0,0,80,0
table_tvp_var_spillovers_usdt_curve_2023.csv,multi,annotated,54,0,0,54,0
table_tvp_var_summary_busd_2023.csv,multi,annotated,12,0,0,12,0
table_tvp_var_summary_ftx_2022.csv,multi,annotated,6,0,0,6,0
table_tvp_var_summary_terra_luna_2022.csv,multi,annotated,12,0,0,12,0
table_tvp_var_summary_usdc_svb_2023.csv,multi,annotated,12,0,0,12,0
table_tvp_var_summary_usdt_curve_2023.csv,multi,annotated,6,0,0,6,0
table_var_spillovers.csv,multi,annotated,52,0,0,52,0
table_var_spillovers_busd_2023.csv,multi,annotated,9,0,0,9,0
table_var_spillovers_ftx_2022.csv,multi,annotated,9,0,0,9,0
table_var_spillovers_terra_luna_2022.csv,multi,annotated,16,0,0,16,0
table_var_spillovers_usdc_svb_2023.csv,multi,annotated,9,0,0,9,0
table_var_spillovers_usdt_curve_2023.csv,multi,annotated,9,0,0,9,0
