table,claim_level,n_rows
table_aa_amm_provenance_edges.csv,A_A_dex_flow,23
table_claim_language_summary.csv,A_A_dex_flow,2
table_leadlag_tests.csv,A_A_dex_flow,2
table_leadlag_tests_usdt_curve_2023.csv,A_A_dex_flow,2
table_provenance_claimable_edges.csv,A_A_dex_flow,23
table_claim_language_summary.csv,A_B_suggestive_directional,18
table_granger_ftx_2022.csv,A_B_suggestive_directional,3
table_granger_terra_luna_2022.csv,A_B_suggestive_directional,1
table_granger_usdc_svb_2023.csv,A_B_suggestive_directional,2
table_granger_usdt_curve_2023.csv,A_B_suggestive_directional,1
table_leadlag_tests.csv,A_B_suggestive_directional,6
table_leadlag_tests_busd_2023.csv,A_B_suggestive_directional,2
table_leadlag_tests_ftx_2022.csv,A_B_suggestive_directional,2
table_leadlag_tests_usdc_svb_2023.csv,A_B_suggestive_directional,2
table_provenance_claimable_edges.csv,A_B_suggestive_directional,108
table_statistically_supported_edges.csv,A_B_suggestive_directional,23
table_transfer_entropy.csv,A_B_suggestive_directional,15
table_transfer_entropy_busd_2023.csv,A_B_suggestive_directional,5
table_transfer_entropy_ftx_2022.csv,A_B_suggestive_directional,3
table_transfer_entropy_terra_luna_2022.csv,A_B_suggestive_directional,4
table_transfer_entropy_usdc_svb_2023.csv,A_B_suggestive_directional,2
table_transfer_entropy_usdt_curve_2023.csv,A_B_suggestive_directional,1
table_claim_language_summary.csv,B_B_context_only,16
table_granger_busd_2023.csv,B_B_context_only,1
table_granger_ftx_2022.csv,B_B_context_only,2
table_granger_usdc_svb_2023.csv,B_B_context_only,2
table_leadlag_tests.csv,B_B_context_only,14
table_leadlag_tests_busd_2023.csv,B_B_context_only,6
table_leadlag_tests_ftx_2022.csv,B_B_context_only,2
table_leadlag_tests_usdc_svb_2023.csv,B_B_context_only,6
table_provenance_claimable_edges.csv,B_B_context_only,65
table_statistically_supported_edges.csv,B_B_context_only,28
table_transfer_entropy.csv,B_B_context_only,12
table_transfer_entropy_busd_2023.csv,B_B_context_only,4
table_transfer_entropy_ftx_2022.csv,B_B_context_only,2
table_transfer_entropy_terra_luna_2022.csv,B_B_context_only,2
table_transfer_entropy_usdc_svb_2023.csv,B_B_context_only,4
