node_i,node_j,te_i_to_j,p_value,p_value_block,significant_p05,p_value_fdr,significant_fdr,p_value_block_fdr,significant_block_fdr,p_bonferroni,significant_bonferroni,event_id,tier_i_actual,tier_j_actual,edge_tier_actual,uses_fixture,claim_allowed,claim_level,claim_reason,claim_language,claim_sentence
curve_ust_wormhole,ust_binance,0.3804870973075759,0.0,0.34,true,0.0,true,0.68,false,0.0,true,terra_luna_2022,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,suggestive,We find suggestive timing evidence of stress propagation from curve_ust_wormhole to ust_binance.
curve_ust_wormhole,curve_3pool,0.3545527889788419,0.865,0.285,false,1.0,false,0.68,false,1.0,false,terra_luna_2022,A,A,A,false,true,A_A_directional_microstructure,Both endpoints have Tier A provenance.,directional,We find directional microstructure transmission from curve_ust_wormhole to curve_3pool.
curve_ust_wormhole,usdt_binance,0.2583100464183655,0.0,0.15,true,0.0,true,0.6,false,0.0,true,terra_luna_2022,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,suggestive,We find suggestive timing evidence of stress propagation from curve_ust_wormhole to usdt_binance.
curve_3pool,curve_ust_wormhole,0.23678704406803197,1.0,0.965,false,1.0,false,1.0,false,1.0,false,terra_luna_2022,A,A,A,false,true,A_A_directional_microstructure,Both endpoints have Tier A provenance.,directional,We find directional microstructure transmission from curve_3pool to curve_ust_wormhole.
ust_binance,curve_3pool,0.22921862045450614,0.075,0.98,false,0.12857142857142856,false,1.0,false,0.8999999999999999,false,terra_luna_2022,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,suggestive,We find suggestive timing evidence of stress propagation from ust_binance to curve_3pool.
ust_binance,curve_ust_wormhole,0.2187164046583563,1.0,0.51,false,1.0,false,0.8742857142857143,false,1.0,false,terra_luna_2022,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,suggestive,We find suggestive timing evidence of stress propagation from ust_binance to curve_ust_wormhole.
usdt_binance,curve_ust_wormhole,0.14687839176723716,1.0,0.285,false,1.0,false,0.68,false,1.0,false,terra_luna_2022,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_ust_wormhole.
curve_3pool,ust_binance,0.14430454925944136,0.0,0.755,true,0.0,true,1.0,false,0.0,true,terra_luna_2022,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to ust_binance.
usdt_binance,curve_3pool,0.08575145131454631,1.0,1.0,false,1.0,false,1.0,false,1.0,false,terra_luna_2022,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_3pool.
curve_3pool,usdt_binance,0.05977840720999535,0.0,0.02,true,0.0,true,0.12,false,0.0,true,terra_luna_2022,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.
ust_binance,usdt_binance,0.016899583833956927,0.0,0.01,true,0.0,true,0.12,false,0.0,true,terra_luna_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between ust_binance and usdt_binance (Tier B proxy data).
usdt_binance,ust_binance,0.01624427602650419,0.0,1.0,true,0.0,true,1.0,false,0.0,true,terra_luna_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdt_binance and ust_binance (Tier B proxy data).
