node_i,node_j,feature_col,grid_seconds,te_i_to_j,p_value,p_value_block,significant_p05,p_value_fdr,significant_fdr,p_value_block_fdr,significant_block_fdr,p_bonferroni,significant_bonferroni,te_estimator,event_id,event_phase,tier_i_actual,tier_j_actual,edge_tier_actual,uses_fixture,feature_tier,provenance_claim_allowed,claim_allowed,claim_level,claim_language,claim_reason,claim_sentence,statistical_claim_allowed,paper_claim_allowed,claim_strength,window_start_override,window_end_override,sub_window
eth_usdt_exchange_flows,usdc_coinbase,basis_vs_usd,60,1.0009287979156647,0.0,0.57,true,0.0,true,0.9665217391304346,false,0.0,true,binned_discrete,usdc_svb_2023,all,B,B,B,false,B,true,true,B_B_context_only,B/B context-only,Both endpoints are Tier B; use contextual language.,We document contextual co-movement between eth_usdt_exchange_flows and usdc_coinbase (Tier B proxy data).,true,true,statistically_supported,,,usdc_svb_2023 [full]
usdc_mint_burn,usdc_coinbase,basis_vs_usd,60,1.0009287979156647,0.0,0.505,true,0.0,true,0.948409090909091,false,0.0,true,binned_discrete,usdc_svb_2023,all,A,B,B,false,B,true,true,A_B_suggestive_directional,A/B suggestive,Edge is capped by the Tier B endpoint.,We find suggestive timing evidence of stress propagation from usdc_mint_burn to usdc_coinbase.,true,true,statistically_supported,,,usdc_svb_2023 [full]
eth_usdc_exchange_flows,usdc_coinbase,basis_vs_usd,60,0.9579613982794604,0.0,0.51,true,0.0,true,0.948409090909091,false,0.0,true,binned_discrete,usdc_svb_2023,all,B,B,B,false,B,true,true,B_B_context_only,B/B context-only,Both endpoints are Tier B; use contextual language.,We document contextual co-movement between eth_usdc_exchange_flows and usdc_coinbase (Tier B proxy data).,true,true,statistically_supported,,,usdc_svb_2023 [full]
usdc_coinbase,eth_usdt_exchange_flows,basis_vs_usd,60,0.8212111209933268,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,usdc_svb_2023,all,B,B,B,false,B,true,true,B_B_context_only,B/B context-only,Both endpoints are Tier B; use contextual language.,We document contextual co-movement between usdc_coinbase and eth_usdt_exchange_flows (Tier B proxy data).,true,true,statistically_supported,,,usdc_svb_2023 [full]
usdc_coinbase,usdc_mint_burn,basis_vs_usd,60,0.8212111209933268,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,usdc_svb_2023,all,B,A,B,false,B,true,true,A_B_suggestive_directional,A/B suggestive,Edge is capped by the Tier B endpoint.,We find suggestive timing evidence of stress propagation from usdc_coinbase to usdc_mint_burn.,true,true,statistically_supported,,,usdc_svb_2023 [full]
usdc_coinbase,eth_usdc_exchange_flows,basis_vs_usd,60,0.7996064302109468,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,usdc_svb_2023,all,B,B,B,false,B,true,true,B_B_context_only,B/B context-only,Both endpoints are Tier B; use contextual language.,We document contextual co-movement between usdc_coinbase and eth_usdc_exchange_flows (Tier B proxy data).,true,true,statistically_supported,,,usdc_svb_2023 [full]
curve_3pool,eth_usdt_exchange_flows,basis_vs_usd,60,0.6640096880104234,0.18,0.0,false,0.26490566037735847,false,0.0,true,1.0,false,binned_discrete,usdc_svb_2023,all,A,B,B,false,B,true,true,A_B_suggestive_directional,A/B suggestive,Edge is capped by the Tier B endpoint.,We find suggestive timing evidence of stress propagation from curve_3pool to eth_usdt_exchange_flows.,true,true,statistically_supported,,,usdc_svb_2023 [full]
curve_3pool,usdc_mint_burn,basis_vs_usd,60,0.6640096880104234,0.18,0.0,false,0.26490566037735847,false,0.0,true,1.0,false,binned_discrete,usdc_svb_2023,all,A,A,B,false,B,true,true,A_B_suggestive_directional,A/B suggestive,"Node tiers are A/A but feature 'basis_vs_usd' is Tier B (derived proxy), so edge is capped to A/B.",We find suggestive timing evidence of stress propagation from curve_3pool to usdc_mint_burn.,true,true,statistically_supported,,,usdc_svb_2023 [full]
eth_usdc_exchange_flows,curve_3pool,basis_vs_usd,60,0.6225528630797045,0.005,0.0,true,0.00951219512195122,true,0.0,true,0.39,false,binned_discrete,usdc_svb_2023,all,B,A,B,false,B,true,true,A_B_suggestive_directional,A/B suggestive,Edge is capped by the Tier B endpoint.,We find suggestive timing evidence of stress propagation from eth_usdc_exchange_flows to curve_3pool.,true,true,statistically_supported,,,usdc_svb_2023 [full]
curve_3pool,usdc_coinbase,basis_vs_usd,60,0.3625037237785227,0.0,1.0,true,0.0,true,1.0,false,0.0,true,binned_discrete,usdc_svb_2023,all,A,B,B,false,B,true,true,A_B_suggestive_directional,A/B suggestive,Edge is capped by the Tier B endpoint.,We find suggestive timing evidence of stress propagation from curve_3pool to usdc_coinbase.,true,true,statistically_supported,,,usdc_svb_2023 [full]
