window_center,caused_node,causing_node,fevd_share,method,event_id,tier_i_actual,tier_j_actual,edge_tier_actual,uses_fixture,claim_allowed,claim_level,claim_reason
-129600.0,usdt_binance,usdt_binance,0.0007898335181556167,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
-129600.0,usdt_binance,busd_binance,0.9992101664818445,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
-129600.0,busd_binance,usdt_binance,0.0004623257413407765,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
-129600.0,busd_binance,busd_binance,0.9995376742586595,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
-43200.0,usdt_binance,usdt_binance,0.019632611495476245,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
-43200.0,usdt_binance,busd_binance,0.9803673885045238,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
-43200.0,busd_binance,usdt_binance,0.06217520416427155,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
-43200.0,busd_binance,busd_binance,0.9378247958357286,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
43200.0,usdt_binance,usdt_binance,0.026740700333649867,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
43200.0,usdt_binance,busd_binance,0.9732592996663502,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
43200.0,busd_binance,usdt_binance,0.013605525585462625,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
43200.0,busd_binance,busd_binance,0.9863944744145374,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
129600.0,usdt_binance,usdt_binance,0.0006774548079733302,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
129600.0,usdt_binance,busd_binance,0.9993225451920265,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
129600.0,busd_binance,usdt_binance,0.0026522358639158297,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
129600.0,busd_binance,busd_binance,0.9973477641360841,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
216000.0,usdt_binance,usdt_binance,0.0012603338057838554,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
216000.0,usdt_binance,busd_binance,0.9987396661942162,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
216000.0,busd_binance,usdt_binance,0.0035429411713669007,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
216000.0,busd_binance,busd_binance,0.9964570588286331,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
302400.0,usdt_binance,usdt_binance,0.0018584706637926787,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
302400.0,usdt_binance,busd_binance,0.9981415293362074,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
302400.0,busd_binance,usdt_binance,0.004274393624357068,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
302400.0,busd_binance,busd_binance,0.995725606375643,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
388800.0,usdt_binance,usdt_binance,0.0028214472020012056,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
388800.0,usdt_binance,busd_binance,0.9971785527979988,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
388800.0,busd_binance,usdt_binance,0.005452978937138491,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
388800.0,busd_binance,busd_binance,0.9945470210628617,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
475200.0,usdt_binance,usdt_binance,0.00548369674221041,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
475200.0,usdt_binance,busd_binance,0.9945163032577896,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
475200.0,busd_binance,usdt_binance,0.009092127814839005,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
475200.0,busd_binance,busd_binance,0.990907872185161,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
561600.0,usdt_binance,usdt_binance,0.010356733751865176,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
561600.0,usdt_binance,busd_binance,0.9896432662481347,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
561600.0,busd_binance,usdt_binance,0.013674603237079034,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
561600.0,busd_binance,busd_binance,0.9863253967629209,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
648000.0,usdt_binance,usdt_binance,0.009312274503471874,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
648000.0,usdt_binance,busd_binance,0.9906877254965282,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
648000.0,busd_binance,usdt_binance,0.057199934778091745,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
648000.0,busd_binance,busd_binance,0.9428000652219082,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
734400.0,usdt_binance,usdt_binance,0.015835151022186408,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
734400.0,usdt_binance,busd_binance,0.9841648489778135,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
734400.0,busd_binance,usdt_binance,0.06901890428194367,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
734400.0,busd_binance,busd_binance,0.9309810957180561,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
820800.0,usdt_binance,usdt_binance,0.02455294697731631,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
820800.0,usdt_binance,busd_binance,0.975447053022684,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
820800.0,busd_binance,usdt_binance,0.062034950213879524,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
820800.0,busd_binance,busd_binance,0.9379650497861208,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
907200.0,usdt_binance,usdt_binance,0.06604067290576708,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
907200.0,usdt_binance,busd_binance,0.9339593270942329,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
907200.0,busd_binance,usdt_binance,0.07758710295502232,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
907200.0,busd_binance,busd_binance,0.9224128970449775,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
993600.0,usdt_binance,usdt_binance,0.04902585071731487,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
993600.0,usdt_binance,busd_binance,0.9509741492826852,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
993600.0,busd_binance,usdt_binance,0.12631649456168365,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
