caused_node,causing_node,fevd_share_mean,fevd_share_max,fevd_share_std,n_windows,method,event_id,tier_i_actual,tier_j_actual,edge_tier_actual,uses_fixture,claim_allowed,claim_level,claim_reason
usdt_binance,usdc_coinbase,0.3535903877470856,0.5110059369207085,0.10420568099620939,5,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
usdc_binance,usdc_coinbase,0.35359038774708557,0.5110059369207084,0.10420568099620944,5,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
usdc_binance,usdt_binance,0.32320480612631247,0.377247064860051,0.05210284049807803,5,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
usdt_binance,usdc_binance,0.32320480612631225,0.3772470648600505,0.052102840498077806,5,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
usdc_coinbase,usdt_binance,0.18616860923961454,0.28829001607875465,0.12138451474614673,5,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
usdc_coinbase,usdc_binance,0.18616860923961434,0.2882900160787547,0.12138451474614702,5,tvp_var_rolling,usdc_svb_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
usdt_binance,ust_binance,0.994403086667738,0.9996681484472023,0.009559923450741411,7,tvp_var_rolling,terra_luna_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
ust_binance,usdt_binance,0.0093264557400359,0.022154480767910066,0.00866298352581539,7,tvp_var_rolling,terra_luna_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
usdt_binance,busd_binance,0.9882789756054834,0.9999283835595811,0.01666983318401502,23,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
busd_binance,usdt_binance,0.02462891311438811,0.12631649456168365,0.033568267065761825,23,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
usdc_binance,busd_binance,0.7479313276182825,0.9657511704624986,0.20974635807602232,5,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
usdt_binance,busd_binance,0.6928573766200659,0.9764739096469487,0.24816356813157786,5,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
usdt_binance,usdc_binance,0.2095472753493867,0.536233546241535,0.2097799514779683,5,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
busd_binance,usdc_binance,0.1968306668625952,0.5369543615517726,0.2442936023215516,5,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
usdc_binance,usdt_binance,0.09759534803047042,0.2893949598508065,0.12232810630854607,5,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
busd_binance,usdt_binance,0.014078376053205008,0.03936113637724041,0.016840716457451724,5,tvp_var_rolling,busd_2023,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
