event,feature_set,model,auroc,auroc_sd,lift_vs_market
usdt_curve_2023,market,LR,0.9793,0.0017,0.0
usdt_curve_2023,market,RF,0.9902,0.0025,0.0
usdt_curve_2023,market,GBM,0.9887,0.0036,0.0
usdt_curve_2023,onchain,LR,0.9169,0.0021,-0.0624
usdt_curve_2023,onchain,RF,0.9645,0.0042,-0.0256
usdt_curve_2023,onchain,GBM,0.9613,0.0041,-0.0275
usdt_curve_2023,both,LR,0.9763,0.0024,-0.003
usdt_curve_2023,both,RF,0.9949,0.0006,0.0047
usdt_curve_2023,both,GBM,0.9978,0.0006,0.009
usdt_curve_2023,oc_pxdev,LR,0.9185,0.0019,-0.0608
usdt_curve_2023,oc_pxdev,RF,0.9453,0.0088,-0.0449
usdt_curve_2023,oc_pxdev,GBM,0.962,0.0022,-0.0268
usdt_curve_2023,oc_imb,LR,0.9185,0.0019,-0.0608
usdt_curve_2023,oc_imb,RF,0.9449,0.0088,-0.0452
usdt_curve_2023,oc_imb,GBM,0.962,0.0022,-0.0268
usdt_curve_2023,oc_slip,LR,0.9185,0.0019,-0.0608
usdt_curve_2023,oc_slip,RF,0.9449,0.0088,-0.0452
usdt_curve_2023,oc_slip,GBM,0.962,0.0022,-0.0268
usdt_curve_2023,oc_flow,LR,0.6348,0.0039,-0.3445
usdt_curve_2023,oc_flow,RF,0.5388,0.0334,-0.4514
usdt_curve_2023,oc_flow,GBM,0.6023,0.0074,-0.3865
usdt_curve_2023,both_minus_pxdev,LR,0.9764,0.0024,-0.0029
usdt_curve_2023,both_minus_pxdev,RF,0.9953,0.0004,0.0051
usdt_curve_2023,both_minus_pxdev,GBM,0.9978,0.0006,0.009
usdt_curve_2023,both_minus_imb,LR,0.9764,0.0023,-0.0029
usdt_curve_2023,both_minus_imb,RF,0.9953,0.0004,0.0051
usdt_curve_2023,both_minus_imb,GBM,0.9978,0.0006,0.009
usdt_curve_2023,both_minus_slip,LR,0.9764,0.0023,-0.0029
usdt_curve_2023,both_minus_slip,RF,0.9953,0.0004,0.0051
