event,feature_set,n_states,covariance,auroc
usdt_curve_2023,oc3,2,diag,0.9179
usdt_curve_2023,oc3,2,full,0.8846
usdt_curve_2023,oc3,2,spherical,0.9066
usdt_curve_2023,oc3,3,diag,0.9271
usdt_curve_2023,oc3,3,full,0.8978
usdt_curve_2023,oc3,3,spherical,0.8618
usdt_curve_2023,oc3,4,diag,0.786
usdt_curve_2023,oc3,4,full,0.9263
usdt_curve_2023,oc3,4,spherical,0.7868
usdt_curve_2023,oc4,2,diag,0.9184
usdt_curve_2023,oc4,2,full,0.9071
usdt_curve_2023,oc4,2,spherical,0.9165
usdt_curve_2023,oc4,3,diag,0.8803
usdt_curve_2023,oc4,3,full,0.8574
usdt_curve_2023,oc4,3,spherical,0.7885
usdt_curve_2023,oc4,4,diag,0.8786
usdt_curve_2023,oc4,4,full,0.9196
usdt_curve_2023,oc4,4,spherical,0.7868
usdt_curve_2023,oc+mkt,2,diag,0.9409
usdt_curve_2023,oc+mkt,2,full,0.9154
usdt_curve_2023,oc+mkt,2,spherical,0.9159
usdt_curve_2023,oc+mkt,3,diag,0.9477
usdt_curve_2023,oc+mkt,3,full,0.5136
usdt_curve_2023,oc+mkt,3,spherical,0.8162
usdt_curve_2023,oc+mkt,4,diag,0.9348
usdt_curve_2023,oc+mkt,4,full,0.7733
usdt_curve_2023,oc+mkt,4,spherical,0.8387
terra_luna_2022,oc3,2,diag,0.8611
terra_luna_2022,oc3,2,full,0.9059
terra_luna_2022,oc3,2,spherical,0.6394
terra_luna_2022,oc3,3,diag,0.9545
terra_luna_2022,oc3,3,full,0.9746
terra_luna_2022,oc3,3,spherical,0.9405
terra_luna_2022,oc3,4,diag,0.9611
terra_luna_2022,oc3,4,full,0.8796
terra_luna_2022,oc3,4,spherical,0.7465
terra_luna_2022,oc4,2,diag,0.6633
terra_luna_2022,oc4,2,full,0.6226
terra_luna_2022,oc4,2,spherical,0.9669
terra_luna_2022,oc4,3,diag,0.9598
terra_luna_2022,oc4,3,full,0.9572
terra_luna_2022,oc4,3,spherical,0.9614
terra_luna_2022,oc4,4,diag,0.969
terra_luna_2022,oc4,4,full,0.9487
terra_luna_2022,oc4,4,spherical,0.7415
terra_luna_2022,oc+mkt,2,diag,0.9155
terra_luna_2022,oc+mkt,2,full,0.9481
terra_luna_2022,oc+mkt,2,spherical,0.9554
terra_luna_2022,oc+mkt,3,diag,0.8926
terra_luna_2022,oc+mkt,3,full,0.9588
terra_luna_2022,oc+mkt,3,spherical,0.9537
terra_luna_2022,oc+mkt,4,diag,0.4995
terra_luna_2022,oc+mkt,4,full,0.4995
terra_luna_2022,oc+mkt,4,spherical,0.4995
ftx_2022,oc3,2,diag,0.431
ftx_2022,oc3,2,full,0.4727
ftx_2022,oc3,2,spherical,0.3972
ftx_2022,oc3,3,diag,0.3888
ftx_2022,oc3,3,full,0.4428
ftx_2022,oc3,3,spherical,0.4064
ftx_2022,oc3,4,diag,0.4314
ftx_2022,oc3,4,full,0.3464
ftx_2022,oc3,4,spherical,0.4202
ftx_2022,oc4,2,diag,0.4323
ftx_2022,oc4,2,full,0.4372
ftx_2022,oc4,2,spherical,0.41
ftx_2022,oc4,3,diag,0.4505
ftx_2022,oc4,3,full,0.4297
ftx_2022,oc4,3,spherical,0.4458
ftx_2022,oc4,4,diag,0.4322
ftx_2022,oc4,4,full,0.4289
ftx_2022,oc4,4,spherical,0.4228
ftx_2022,oc+mkt,2,diag,0.2622
ftx_2022,oc+mkt,2,full,0.4009
ftx_2022,oc+mkt,2,spherical,0.3726
ftx_2022,oc+mkt,3,diag,0.6143
ftx_2022,oc+mkt,3,full,0.2165
ftx_2022,oc+mkt,3,spherical,0.3499
ftx_2022,oc+mkt,4,diag,0.5158
ftx_2022,oc+mkt,4,full,0.3092
ftx_2022,oc+mkt,4,spherical,0.4532
busd_2023,oc3,2,diag,0.5803
busd_2023,oc3,2,full,0.5595
busd_2023,oc3,2,spherical,0.6206
busd_2023,oc3,3,diag,0.6176
busd_2023,oc3,3,full,0.5075
busd_2023,oc3,3,spherical,0.6726
busd_2023,oc3,4,diag,0.6067
busd_2023,oc3,4,full,0.4957
busd_2023,oc3,4,spherical,0.6426
busd_2023,oc4,2,diag,0.573
busd_2023,oc4,2,full,0.5531
busd_2023,oc4,2,spherical,0.6118
busd_2023,oc4,3,diag,0.5291
busd_2023,oc4,3,full,0.476
busd_2023,oc4,3,spherical,0.6596
busd_2023,oc4,4,diag,0.5648
busd_2023,oc4,4,full,0.3778
busd_2023,oc4,4,spherical,0.5409
busd_2023,oc+mkt,2,diag,0.8936
busd_2023,oc+mkt,2,full,0.7492
busd_2023,oc+mkt,2,spherical,0.6837
busd_2023,oc+mkt,3,diag,0.8279
busd_2023,oc+mkt,3,full,0.4458
busd_2023,oc+mkt,3,spherical,0.7419
busd_2023,oc+mkt,4,diag,0.7027
busd_2023,oc+mkt,4,full,0.4919
busd_2023,oc+mkt,4,spherical,0.7418
usdc_svb_2023,oc3,2,diag,0.8167
usdc_svb_2023,oc3,2,full,0.7942
usdc_svb_2023,oc3,2,spherical,0.8149
usdc_svb_2023,oc3,3,diag,0.9165
usdc_svb_2023,oc3,3,full,0.9349
usdc_svb_2023,oc3,3,spherical,0.6469
usdc_svb_2023,oc3,4,diag,0.8897
usdc_svb_2023,oc3,4,full,0.9168
usdc_svb_2023,oc3,4,spherical,0.6393
usdc_svb_2023,oc4,2,diag,0.8034
usdc_svb_2023,oc4,2,full,0.6183
usdc_svb_2023,oc4,2,spherical,0.8145
usdc_svb_2023,oc4,3,diag,0.6679
usdc_svb_2023,oc4,3,full,0.7939
usdc_svb_2023,oc4,3,spherical,0.6582
usdc_svb_2023,oc4,4,diag,0.7728
usdc_svb_2023,oc4,4,full,0.8214
usdc_svb_2023,oc4,4,spherical,0.8106
usdc_svb_2023,oc+mkt,2,diag,0.8109
usdc_svb_2023,oc+mkt,2,full,0.8754
usdc_svb_2023,oc+mkt,2,spherical,0.81
usdc_svb_2023,oc+mkt,3,diag,0.9404
usdc_svb_2023,oc+mkt,3,full,0.9029
usdc_svb_2023,oc+mkt,3,spherical,0.5121
usdc_svb_2023,oc+mkt,4,diag,0.9446
usdc_svb_2023,oc+mkt,4,full,0.5502
usdc_svb_2023,oc+mkt,4,spherical,0.8637
