h,abs_flow,abs_basis,rolling_arb_r,phase
-168,788759.057385,0.00025,,pre
-167,3321738.907178,0.00025,,pre
-166,1275458.442837,0.00025,,pre
-165,1444192.656695,0.00025,,pre
-164,1506680.286077,0.00025,,pre
-163,115677.990637,0.00025,,pre
-162,38886.061096,0.00025,,pre
-161,5013589.477506,0.00025,,pre
-160,2653526.427104,0.00025,,pre
-159,407639.169865,0.000229,0.3067,pre
-158,5504039.720481,0.00015,-0.5649,pre
-157,2626552.624388,0.00015,-0.3988,pre
-156,7108.044839,0.00015,0.0764,pre
-155,1256397.314374,0.00015,-0.1585,pre
-154,6258357.482164,6.3e-05,-0.7054,pre
-153,5485205.263822,5e-05,-0.6923,pre
-152,5784680.642348,5e-05,-0.9336,pre
-151,78122.185026,5e-05,-0.6154,pre
-150,244939.925583,5e-05,-0.2609,pre
-149,900545.653588,5e-05,0.5117,pre
-148,10430414.357003,5e-05,,pre
-147,301011.115864,5e-05,,pre
-146,8365664.969814,5e-05,,pre
-145,1526519.632654,5e-05,,pre
-144,2282633.542523,5e-05,,pre
-143,867329.990316,5e-05,,pre
-142,598387.559627,5e-05,,pre
-141,515623.359003,5e-05,,pre
-140,595339.687091,5e-05,,pre
-139,181354.217866,5e-05,,pre
-138,41850.377205,5e-05,,pre
-137,384590.697938,5e-05,,pre
-136,16154229.741232,5e-05,,pre
-135,2462589.878206,5e-05,,pre
-134,2971517.700313,5e-05,,pre
-133,4073134.099914,5e-05,,pre
-132,4952247.474393,4.9e-05,0.0187,pre
-131,1435062.146692,4.9e-05,0.3061,pre
-130,4157642.363853,5e-05,0.0896,pre
-129,3476913.448824,5e-05,0.2025,pre
-128,6929963.185152,5e-05,0.4209,pre
-127,2011353.400784,5e-05,0.2449,pre
-126,2446366.967042,5e-05,0.4868,pre
-125,260434.089494,5e-05,,pre
-124,7217929.99771,5e-05,,pre
-123,5080355.957592,5e-05,,pre
-122,329514.848207,5e-05,,pre
-121,10923258.640933,5e-05,,pre
-120,1691774.510479,5e-05,,pre
-119,301677.8693,5e-05,,pre
-118,2080853.828354,5e-05,,pre
-117,389735.485587,5e-05,,pre
-116,85427.928732,5e-05,,pre
-115,28451.050875,5e-05,,pre
-114,150413.005395,5e-05,,pre
-113,4921863.229524,5e-05,,pre
-112,2359164.213415,5e-05,,pre
-111,4909472.690269,5e-05,,pre
-110,2923129.254016,5e-05,,pre
-109,4866928.24681,5e-05,,pre
-108,3176681.207097,5e-05,,pre
-107,3544701.520492,5e-05,,pre
-106,677647.181621,5e-05,,pre
-105,661680.520069,5e-05,,pre
-104,407849.551906,5e-05,,pre
-103,2044092.934609,5e-05,,pre
-102,1945550.791661,5e-05,,pre
-101,176821.425532,5e-05,,pre
-100,2991944.979534,5e-05,,pre
-99,923678.319221,5e-05,,pre
-98,5931342.237876,5e-05,,pre
-97,1127577.752857,5e-05,,pre
-96,890598.892307,5e-05,,pre
-95,1297437.701728,5e-05,,pre
-94,312146.272541,5e-05,,pre
-93,70490.540203,5e-05,,pre
-92,541552.359175,5e-05,,pre
-91,268425.918927,5e-05,,pre
-90,2654923.254433,5e-05,,pre
-89,94453.515271,5e-05,,pre
-88,1134020.336958,5e-05,,pre
-87,29996.79047,5e-05,,pre
-86,99804.963633,5e-05,,pre
-85,326047.521299,5e-05,,pre
-84,1503095.93796,4.9e-05,-0.757,pre
-83,1457343.461233,4.9e-05,-0.8181,pre
-82,25992.685578,5e-05,-0.9879,pre
-81,2027016.162028,5e-05,-0.5181,pre
-80,6895040.020323,5e-05,0.1733,pre
-79,1310879.368753,5e-05,0.2341,pre
-78,2202255.247657,5e-05,0.1784,pre
-77,673192.760372,5e-05,,pre
-76,93723.887727,5e-05,,pre
-75,192190.027817,0.000149,-0.3243,pre
-74,10970467.582289,0.00015,0.5605,pre
-73,469492.865434,0.00015,0.3746,pre
-72,87838.294272,0.000198,0.1866,pre
-71,69771.677,0.00025,-0.0623,pre
-70,11543687.269612,0.00025,0.1466,pre
-69,832811.446966,0.00025,-0.1007,pre
-68,2569265.213975,0.00025,0.3646,pre
-67,1124362.679442,0.00025,0.2897,pre
-66,1347471.777746,0.00025,,pre
-65,1288935.881312,0.00025,,pre
-64,227318.29912,0.00025,,pre
-63,38250.583051,0.00025,,pre
-62,25085.106545,0.00025,,pre
-61,178031.172288,0.00025,,pre
-60,19194.18275,0.00025,,pre
-59,7638587.712075,0.00025,,pre
-58,4008168.141777,0.00025,,pre
-57,1766032.096781,0.000226,0.0813,pre
-56,3406399.168145,0.00015,-0.0544,pre
-55,376557.07614,0.00015,0.3184,pre
-54,3486158.510509,0.00015,0.5541,pre
-53,3433366.493728,0.000122,0.0919,pre
-52,15489717.507191,0.00015,-0.1929,pre
-51,3112363.637077,0.00015,0.1333,pre
-50,3548740.970848,0.00015,0.1357,pre
-49,344108.502558,0.00015,0.135,pre
-48,207470.060402,0.00015,0.0798,pre
-47,1388853.777042,0.00015,,pre
-46,85597.021818,0.00015,,pre
-45,84846.714154,0.00015,,pre
-44,35814.232322,0.00015,,pre
-43,246847.590715,0.00015,,pre
-42,220329.696201,0.00015,,pre
-41,57132.935687,0.00015,,pre
-40,25950.762607,0.00015,,pre
-39,15678.190017,0.00015,,pre
-38,465326.53345,0.00015,,pre
-37,438928.730778,0.00015,,pre
-36,214668.918351,0.00015,,pre
-35,3111166.934744,0.00015,,pre
-34,1732659.74995,0.00015,,pre
-33,8633391.594923,0.00015,,pre
-32,9760661.618862,0.000123,-0.6764,pre
-31,2016633.666609,5e-05,0.0895,pre
-30,2679496.720764,5e-05,0.3654,pre
-29,3023508.809912,5e-05,0.5284,pre
-28,150086.129026,6.4e-05,0.8872,pre
-27,98789.322064,0.00015,0.2151,pre
-26,8338.078321,0.00015,-0.7745,pre
-25,10827.136544,0.00015,-0.7895,pre
-24,64004.760865,0.00015,-0.7257,pre
-23,140343.037798,0.00015,-0.566,pre
-22,48878.930836,0.00015,,pre
-21,25947.138903,0.00015,,pre
-20,384138.500793,0.00015,,pre
-19,98519.126902,0.00015,,pre
-18,1766.103667,0.00015,,pre
-17,174270.852584,0.00015,,pre
-16,30467.868983,0.00015,,pre
-15,12931.770461,0.00015,,pre
-14,499.706771,0.00015,,pre
-13,416.984785,0.00015,,pre
-12,3548.098849,0.00015,,pre
-11,11209980.735342,0.00015,,pre
-10,1005.0,0.00015,,pre
-9,6719142.316721,6.6e-05,-0.3774,pre
-8,1891489.28108,5e-05,-0.131,pre
-7,1371059.133622,5e-05,0.0954,pre
-6,146320.911649,5e-05,0.4107,pre
-5,159479.495973,5e-05,-0.1791,pre
-4,44676.305481,5e-05,0.9549,pre
-3,5248.820088,5e-05,,pre
-2,35133.077287,8.6e-05,-0.2383,pre
-1,44122.174473,0.00015,-0.3218,pre
0,2429844.170775,0.000215,0.8143,onset
1,9086680.723103,0.000432,0.9625,onset
2,7861886.322239,0.00035,0.9694,onset
3,2253075.103828,0.000278,0.9439,onset
4,2667838.061087,0.000264,0.95,onset
5,77913.259394,0.00035,0.6386,onset
6,461123.600529,0.00035,0.5498,panic
7,20204498.647226,0.000463,0.7879,panic
8,441008.474781,0.000849,0.0154,panic
9,1295953.968472,0.001131,-0.1614,panic
10,18229743.888891,0.002253,0.4478,panic
11,26994670.920756,0.001674,0.501,panic
12,1814261.591268,0.001298,0.3174,panic
13,4767376.550676,0.001508,0.7394,panic
14,6731332.67267,0.001181,0.6925,panic
15,1525251.339874,0.001421,0.6332,panic
16,12407789.640786,0.001295,0.6075,panic
17,735118.638962,0.001231,-0.1365,panic
18,4565715.306173,0.001138,-0.1139,panic
19,10548078.640123,0.001177,-0.2424,panic
20,16957839.968045,0.001122,-0.4735,panic
21,72942.144228,0.001097,0.1589,panic
22,5158750.021521,0.000987,-0.0347,panic
23,67336.28256,0.001025,0.4726,panic
24,748811.754227,0.001042,0.5779,panic
25,267474.718109,0.001063,0.4612,panic
26,1909313.000702,0.001049,-0.7553,panic
27,292867.808195,0.001063,-0.8049,panic
28,1844609.90717,0.001123,0.5546,panic
29,896244.745516,0.001117,0.2978,panic
30,3211118.450458,0.001151,0.6369,panic
31,1241612.837845,0.001151,0.4163,panic
32,2789672.314917,0.001168,0.7933,panic
33,9288014.712544,0.001238,0.9441,panic
34,1869374.142263,0.001159,0.9461,panic
35,2869203.769008,0.00096,0.4472,panic
36,4218134.95098,0.000685,0.1275,panic
37,1953306.758785,0.000658,0.3837,panic
38,4851180.663794,0.00063,0.3747,panic
39,10380956.443598,0.00061,-0.5604,panic
40,8615812.111922,0.000791,-0.2828,panic
41,3788874.987163,0.000519,0.2863,panic
42,3470994.275083,0.000467,0.4468,panic
43,273315.4,0.000408,0.7894,panic
44,1432843.292625,0.000458,0.8364,panic
45,1078897.684615,0.000388,0.9677,panic
46,1445956.547587,0.00035,0.7469,panic
47,3852315.575264,0.00034,-0.0536,panic
48,7020153.398059,0.000371,-0.4093,panic
49,2455142.525884,0.000396,-0.3494,panic
50,1740998.890253,0.000415,-0.2929,panic
51,1923400.404668,0.000351,-0.1328,panic
52,4732637.368263,0.000408,-0.1422,panic
53,490695.1912,0.000488,-0.5144,panic
54,808011.902302,0.00045,-0.4963,panic
55,102679.124615,0.000463,-0.5572,panic
56,798624.428974,0.00045,-0.5713,panic
57,2862844.868648,0.000388,-0.8184,panic
58,1234463.893708,0.00035,-0.6603,panic
59,1289787.532367,0.000378,-0.6043,panic
60,1038320.226506,0.00035,-0.4687,panic
61,2173353.398485,0.000277,-0.3594,panic
62,75182.513211,0.000294,0.3327,panic
63,1449499.647385,0.000269,-0.1577,panic
64,2359349.279012,0.00025,-0.4165,panic
65,15214.732689,0.000255,-0.2071,panic
66,991162.415883,0.00025,-0.2563,panic
67,1251563.960883,0.000211,-0.3934,panic
68,963139.530026,0.000151,0.1024,panic
69,439946.84656,0.00015,0.2302,panic
70,40886.829681,0.00015,0.0982,panic
71,1403312.838112,0.000161,0.4149,panic
72,361435.585656,0.000186,0.3607,recovery
73,411316.298842,0.000152,-0.0006,recovery
74,259233.23435,0.000207,-0.1349,recovery
75,8218612.564789,0.00015,-0.3823,recovery
76,493126.253342,0.00015,-0.409,recovery
77,2927286.535332,0.00015,-0.439,recovery
78,11988.671652,0.000236,-0.4629,recovery
79,121452.058778,0.000262,-0.5993,recovery
80,817914.08603,0.000169,-0.5361,recovery
81,8500.0,0.000154,-0.4743,recovery
82,1277184.640166,0.00025,-0.4073,recovery
83,90107.3905,0.00022,0.1087,recovery
84,27160.306969,0.000159,0.3228,recovery
85,2564941.888056,0.00015,-0.0554,recovery
86,2113893.865431,0.000151,-0.2049,recovery
87,2210239.81479,0.000223,-0.212,recovery
88,371528.537657,0.000182,-0.2275,recovery
89,1479369.647713,0.00015,0.0513,recovery
90,12009.502342,0.00015,0.1349,recovery
91,141931.163318,0.00015,0.4248,recovery
92,789147.287075,0.000149,0.6653,recovery
93,2193078.912041,0.000117,-0.6837,recovery
94,8716.708026,0.000123,-0.3732,recovery
95,1598333.929946,0.000118,-0.6563,recovery
96,213831.386811,0.00015,-0.6373,recovery
97,765820.7707,0.00015,-0.5456,recovery
98,2339934.765638,0.00015,-0.1691,recovery
99,574603.076949,0.00015,0.0409,recovery
100,11520.661187,0.00015,-0.3757,recovery
101,23295.24749,0.00015,,recovery
102,404036.297185,0.00015,,recovery
103,237085.581878,0.00015,,recovery
104,229634.426355,0.00015,,recovery
105,182226.041409,0.00015,,recovery
106,103254.800652,0.00015,,recovery
107,431808.59427,0.00015,,recovery
108,3596318.985931,0.00015,,recovery
109,35595.069843,7.8e-05,0.2556,recovery
110,138924.667562,5.8e-05,0.3572,recovery
111,33461.294548,5e-05,0.4958,recovery
112,2363589.791453,6.7e-05,0.4796,recovery
113,693203.923857,5e-05,0.7958,recovery
114,273768.13048,5e-05,0.1994,recovery
115,346291.546931,5e-05,0.8299,recovery
116,250101.65726,5e-05,0.9686,recovery
117,367176.655886,5e-05,0.981,recovery
118,2339075.153333,0.000109,0.9805,recovery
119,842341.014685,0.000122,0.7392,recovery
120,744869.072003,0.00015,0.4921,recovery
121,129060.722158,0.00015,0.1537,recovery
122,94746.449298,0.00015,-0.1751,recovery
123,81087.535936,0.00015,-0.8874,recovery
124,2623380.953811,0.00015,-0.045,recovery
125,1764547.115419,0.00015,,recovery
126,16657.245565,0.00015,,recovery
127,69627.404396,0.000173,-0.3051,recovery
128,47480.354288,0.000231,-0.4001,recovery
129,76772.583777,0.000207,-0.5729,recovery
130,1346.605813,0.00025,-0.5079,recovery
131,66044.176597,0.00025,-0.0283,recovery
132,1328917.15538,0.00025,0.3334,recovery
133,74086.056118,0.000237,0.3345,recovery
134,5632.404363,0.00025,0.226,recovery
135,18400.153096,0.00025,0.1618,recovery
136,252557.685641,0.00025,0.2058,recovery
137,20986.914198,0.00025,0.1971,recovery
138,58104.900089,0.000184,0.0705,recovery
139,5270766.731085,0.000223,-0.2137,recovery
140,101622.679991,0.000169,0.0238,recovery
141,31369.508029,0.00015,0.226,recovery
142,33148.521294,0.00015,0.4159,recovery
143,634.395137,0.00015,0.8809,recovery
144,10012265.061212,0.00015,0.2425,recovery
145,217940.767822,0.00015,-0.197,recovery
146,190478.922944,0.00015,,recovery
147,66846.8113,0.00015,,recovery
148,315479.255033,0.00015,,recovery
149,2530014.467376,0.00015,,recovery
150,34384.84729,0.00015,,recovery
151,62671.36528,0.00015,,recovery
152,139567.18252,0.00015,,recovery
153,3015705.015037,0.00015,,recovery
154,84172.72726,0.00015,,recovery
155,501375.963717,0.00015,,recovery
156,139282.018693,0.00015,,recovery
157,79202.922795,0.00015,,recovery
158,235822.741583,0.00015,,recovery
159,114238.583408,0.00015,,recovery
160,30188.330076,0.000154,-0.4407,recovery
161,54591.17756,0.000201,-0.4097,recovery
162,3392.932405,0.00025,-0.5905,recovery
163,835499.905347,0.000242,0.3725,recovery
164,9776.620314,0.000253,0.2547,recovery
165,8207.515362,0.00025,0.1664,recovery
166,12070.018091,0.00025,-0.0381,recovery
167,106886.030998,0.00025,-0.9427,recovery
168,195694.99478,0.00025,-0.9445,post
169,347278.664896,0.000249,-0.5381,post
170,74873.370966,0.00025,-0.8451,post
171,4034.145297,0.00025,-0.8428,post
172,105712.985763,0.00025,-0.8556,post
173,47125.240384,0.000193,0.3103,post
174,99812.905452,0.00015,0.1914,post
175,36885.700539,0.00015,-0.0583,post
176,245436.911648,0.00015,-0.4204,post
177,124698.62912,0.00015,-0.2015,post
178,73271.373147,0.00015,-0.3685,post
179,292851.745455,0.00015,,post
180,10848.879105,0.00015,,post
181,2684220.356859,0.00015,,post
182,121528.46807,0.00015,,post
183,112972.595007,0.00015,,post
184,249190.6992,0.00015,,post
185,16011.318139,0.00015,,post
186,1222.238843,0.00015,,post
187,21907.985332,0.00015,,post
188,14170.556113,0.00015,,post
189,661595.00731,0.00015,,post
190,113004.414203,0.00015,,post
191,156003.732719,0.00015,,post
192,4806.679566,0.00015,,post
193,781.96186,7.8e-05,0.3031,post
194,46632.308354,5e-05,0.4126,post
195,672728.864258,5e-05,-0.4136,post
196,5496.744581,5e-05,-0.2694,post
197,20140.993218,5.4e-05,-0.2976,post
198,50069.171612,0.00015,-0.2344,post
199,26351.793673,0.00015,-0.3008,post
200,278011.353622,0.00015,-0.2501,post
201,1026828.209111,0.00015,0.428,post
202,47769.788203,0.00015,0.2733,post
203,923298.667979,0.00015,,post
204,94011.585617,0.00015,,post
205,1367825.167231,0.00015,,post
206,2557080.026992,0.00015,,post
207,631074.822619,0.00015,,post
208,4271594.561239,0.00015,,post
209,677490.980114,0.00015,,post
210,26204.715012,0.00015,,post
211,241148.0,0.00015,,post
212,36649.296507,0.00015,,post
213,28783.971997,0.00015,,post
214,5180260.891493,0.00015,,post
215,38453.699719,0.00015,,post
216,2260800.160044,0.00015,,post
217,859794.96254,0.00015,,post
218,2524972.87178,0.00015,,post
219,227927.212374,0.00015,,post
220,177729.373766,0.00015,,post
221,7760617.07261,0.00015,,post
222,4807428.856717,0.00015,,post
223,335500.033665,0.00015,,post
224,91401.096559,0.00015,,post
225,61143.97473,0.00015,,post
226,254396.541696,0.00015,,post
227,69755.218351,0.00015,,post
228,46308.043645,0.00015,,post
229,73342.453943,0.00015,,post
230,1662840.223839,0.000109,-0.9927,post
231,2556156.127226,5e-05,-0.9761,post
232,1175514.3483,7.1e-05,-0.9096,post
233,74371.931237,0.00015,-0.9095,post
234,861909.310949,0.00015,-0.8532,post
235,140587.322898,0.00015,-0.8538,post
236,371787.85765,0.000133,-0.8833,post
237,200742.496924,5e-05,-0.269,post
238,96110.770603,5e-05,0.363,post
239,443885.024415,5e-05,0.4254,post
240,415883.535134,5e-05,-0.169,post
241,201636.723729,5e-05,0.2897,post
242,478050.279603,5e-05,,post
243,606195.366971,5e-05,,post
244,834752.206792,5e-05,,post
245,1159676.559703,5e-05,,post
246,111269.304415,5e-05,,post
247,237067.334699,7.1e-05,-0.4229,post
248,67736.48135,0.00015,-0.558,post
249,500785.423462,0.00015,-0.4189,post
250,45116.10165,0.00015,-0.4264,post
251,503154.544988,0.00015,0.2818,post
252,166938.444628,0.00015,0.0393,post
253,101731.318909,0.00015,,post
254,621254.699688,0.00015,,post
255,2496056.996023,0.00015,,post
256,499838.44029,0.00015,,post
257,620077.659179,0.00015,,post
258,650607.443309,0.00015,,post
259,2075173.925098,0.00015,,post
260,113791.278537,0.00015,,post
261,529501.128858,0.00015,,post
262,4045003.310824,0.00015,,post
263,713348.058774,0.00015,,post
264,120199.703042,0.00015,,post
265,39848.089266,0.00015,,post
266,278616.014992,0.00015,,post
267,100973.510132,0.00015,,post
268,373170.16739,0.00015,,post
269,2021597.596361,0.00015,,post
270,172450.192458,0.00015,,post
271,265519.585094,0.00015,,post
272,446480.177002,0.00015,,post
273,92794.922184,0.00015,,post
274,9199.834018,0.000246,-0.3173,post
275,498068.702894,0.000243,0.0075,post
276,189987.215272,0.00015,-0.0041,post
277,558963.70621,0.00015,-0.1673,post
278,3494390.343181,0.00015,-0.3237,post
279,435955.667925,0.000108,-0.2645,post
280,116897.572462,5e-05,0.147,post
281,289918.666882,5e-05,0.4572,post
282,14042473.223393,5e-05,-0.2818,post
283,57518.661542,5e-05,-0.0924,post
284,11725564.277431,4.9e-05,-0.3054,post
285,101782.916472,4.9e-05,-0.1784,post
286,412493.154277,5e-05,-0.1737,post
287,2015920.532607,4.8e-05,0.1163,post
288,160715.254564,5e-05,-0.3294,post
289,550910.17389,5e-05,-0.3151,post
290,38766.999112,5e-05,-0.7989,post
291,12864.304768,5e-05,-0.96,post
292,351528.505273,0.000111,-0.1354,post
293,70968.021072,0.00015,-0.0718,post
294,256281.247371,0.00015,-0.0301,post
295,121060.103385,0.00015,0.4573,post
296,217362.862751,0.00015,0.3439,post
297,23698.022565,0.000138,-0.5237,post
298,123058.42422,5e-05,0.1498,post
299,34632.569336,5e-05,0.4839,post
300,4324.00907,5e-05,0.5044,post
301,3050.481654,5e-05,0.5344,post
302,25072.125632,5e-05,-0.1312,post
303,66346.970186,5e-05,,post
304,13438.458068,5e-05,,post
305,4805.582351,5e-05,,post
306,145478.110994,5e-05,,post
307,92257.424786,5e-05,,post
308,93810.537002,5e-05,,post
309,873.057997,5e-05,,post
310,163741.9132,5e-05,,post
311,9792605.939182,0.000144,0.9999,post
312,487030.02058,7.6e-05,0.9721,post
313,62209.276117,5e-05,0.9723,post
314,46441.349553,5e-05,0.9725,post
315,94825.551903,0.000136,0.6623,post
316,18509.986634,0.00015,0.4365,post
317,893500.564865,0.00015,0.3339,post
318,952.554774,0.00015,0.3169,post
319,3159.121315,0.00015,0.1997,post
320,279.878686,0.00015,0.1012,post
321,2152.165883,0.00015,,post
322,42394.961362,0.00015,,post
323,359189.1028,0.00015,,post
324,13204.642936,0.00015,,post
325,549732.715307,0.00015,,post
326,392025.254602,0.00015,,post
327,45199.782523,0.00015,,post
328,7584.502944,0.000137,0.4594,post
329,2206.853812,5e-05,0.3897,post
330,1498.002593,5e-05,0.5776,post
331,69110.309855,5e-05,0.491,post
332,18149.293436,5e-05,0.1062,post
333,31459.1598,5e-05,-0.2668,post
334,47561.497728,5e-05,,post
335,36666.088906,5e-05,,post
336,97445.601575,5e-05,,post
337,174380.189118,5e-05,,post
338,7809.236722,5e-05,,post
339,54532.786034,5e-05,,post
340,7270.664036,5e-05,,post
341,71160.335172,5e-05,,post
342,21941.001172,5e-05,,post
343,914068.730138,5e-05,,post
344,71982.111578,5e-05,,post
345,1501715.886141,5e-05,,post
346,536061.028924,5e-05,,post
347,257740.716738,5e-05,,post
348,6257.927584,5e-05,,post
349,53784.71493,5e-05,,post
350,2422721.514781,5e-05,,post
351,1098852.956212,5e-05,,post
352,5921876.418373,5.3e-05,0.9168,post
353,357641.913974,0.000134,-0.25,post
354,1592040.452638,5e-05,-0.3289,post
355,790810.006579,5e-05,-0.3771,post
356,1077148.302133,5e-05,-0.3178,post
357,719943.82388,5e-05,-0.2976,post
358,172250.917185,5e-05,-0.4107,post
359,1519324.010149,5e-05,,post
360,127660.131793,5e-05,,post
361,2121175.640137,5e-05,,post
362,152008.397834,5e-05,,post
363,2075918.04347,5e-05,,post
364,77808.949845,5e-05,,post
365,42055.539061,5e-05,,post
366,1408994.854217,5e-05,,post
367,667024.769878,5e-05,,post
368,115863.651007,5e-05,,post
369,740146.611836,5e-05,,post
370,0.0,5e-05,,post
371,1501.6933,5e-05,,post
372,2294584.53234,5e-05,,post
373,11621.630758,5e-05,,post
374,1729005.972647,5e-05,,post
375,317380.468025,5e-05,,post
376,45041.752287,5e-05,,post
377,205997.88471,5e-05,,post
378,138657.79604,5e-05,,post
379,1777539.149297,5e-05,,post
380,153488.815532,5e-05,,post
381,212784.211508,8.8e-05,-0.1539,post
382,68370.27483,0.00015,-0.3245,post
383,275382.146473,0.00015,-0.3809,post
384,213933.073034,0.00015,-0.5412,post
385,729189.5825,0.00015,0.3175,post
386,91929.01713,0.00015,0.1068,post
387,67342.437671,0.00015,,post
388,100720.53862,0.00015,,post
389,39130.975996,0.00015,,post
390,278606.082315,0.00015,,post
391,1255480.647582,0.00015,,post
392,10299517.854477,0.00015,,post
393,37674.664911,0.000149,0.2352,post
394,57027.693314,5e-05,0.2341,post
395,768505.941636,5e-05,0.3292,post
396,654757.097165,5e-05,0.4639,post
397,1602889.546036,8.8e-05,0.5796,post
398,2671149.025142,6.9e-05,-0.1796,post
399,3500028.180296,0.000119,0.8626,post
400,2371197.592956,0.00015,0.6888,post
401,19937.30684,5.1e-05,0.6975,post
402,29804.930469,5e-05,0.7172,post
403,117922.246777,5e-05,0.7585,post
404,4957.399045,5e-05,0.898,post
405,1719835.238257,0.000114,0.9971,post
406,98688.792147,0.00015,0.4391,post
407,8613329.368886,0.00015,0.6032,post
408,83669.46936,0.00015,0.4113,post
409,702732.098057,0.00015,0.2815,post
410,1701779.469998,0.00015,0.0654,post
411,465926.446834,0.00015,,post
412,2197737.399982,0.00015,,post
413,30539.204091,0.00015,,post
414,1398645.701875,0.00015,,post
415,1649002.478003,0.00015,,post
416,1881517.329142,0.000116,-0.3538,post
417,3862050.353435,5e-05,-0.8126,post
418,269005.209316,4.9e-05,-0.3594,post
419,4573878.086174,5e-05,-0.4265,post
420,653728.326591,5e-05,-0.1725,post
421,1530558.669235,5e-05,-0.0629,post
422,860370.206481,4.9e-05,0.5967,post
423,9679785.51411,5e-05,0.5027,post
424,4736969.523402,5e-05,0.4014,post
425,1606986.518064,5e-05,0.3255,post
426,136587.539129,5e-05,0.3053,post
427,657948.777773,5e-05,0.2775,post
428,59297.241924,5e-05,,post
429,1000770.614383,5e-05,,post
430,4951643.955726,5e-05,,post
431,432119.048645,5e-05,,post
432,357423.835173,5e-05,,post
433,922773.040544,0.000108,-0.0976,post
434,8423423.877903,0.000353,0.8182,post
435,4473064.868082,0.00035,0.7349,post
436,408707.443377,0.00035,0.6457,post
437,610183.021755,0.00035,0.4547,post
438,1382226.861984,0.000339,0.2947,post
439,7151534.338176,0.000242,-0.4358,post
