h,abs_flow,abs_basis,rolling_arb_r,phase
-120,121113.440594,9.926717,,pre
-119,64614.049905,9.928249,,pre
-118,30220.736476,9.929529,,pre
-117,194357.539805,9.928786,,pre
-116,2551489.891677,9.927921,,pre
-115,194665.391544,9.929516,-0.2397,pre
-114,22763.965294,9.933622,-0.4295,pre
-113,4229316.426495,9.933129,0.2209,pre
-112,535234.652495,9.933073,0.0703,pre
-111,1856314.027718,9.932727,-0.0521,pre
-110,1478402.67255,9.934138,0.2791,pre
-109,35366.576394,9.930481,0.2787,pre
-108,53986.288619,9.930094,0.5818,pre
-107,108010.408072,9.928003,0.7526,pre
-106,391053.251844,9.924081,0.6253,pre
-105,1384017.069665,9.924735,0.0929,pre
-104,4238188.243138,9.925514,-0.486,pre
-103,22112610.354929,9.924782,-0.3614,pre
-102,1542435.836818,9.925197,-0.2433,pre
-101,236385.714162,9.926395,-0.1855,pre
-100,300459.100931,9.926325,-0.5336,pre
-99,2368319.788096,9.926978,-0.6696,pre
-98,50140.695124,9.926029,-0.6856,pre
-97,2304094.078472,9.927344,0.4471,pre
-96,474469.20109,9.927224,0.7172,pre
-95,1738540.048003,9.929124,0.5341,pre
-94,1631657.219536,9.928046,0.4545,pre
-93,9228087.334097,9.929416,0.7112,pre
-92,282861.522089,9.929642,0.3589,pre
-91,6563842.057225,9.928716,0.3588,pre
-90,7894117.218144,9.926917,-0.3052,pre
-89,78723.560436,9.924676,0.3155,pre
-88,5103983.451219,9.92535,0.2873,pre
-87,25408.330156,9.927197,0.0322,pre
-86,9875145.534201,9.923401,-0.1334,pre
-85,6020745.698063,9.925298,-0.3753,pre
-84,21300.214759,9.923871,-0.4145,pre
-83,262523.893168,9.923287,-0.2249,pre
-82,13343.877886,9.924428,-0.2426,pre
-81,2195466.826827,9.924223,0.043,pre
-80,1004664.228405,9.924113,0.8151,pre
-79,30109.762751,9.927361,-0.225,pre
-78,486207.496456,9.933904,-0.2104,pre
-77,743629.940441,9.920725,-0.2705,pre
-76,267439.10619,9.91276,0.0295,pre
-75,52229.806353,9.910388,0.3015,pre
-74,110844.295188,9.909325,0.3851,pre
-73,788.975713,9.91052,0.7139,pre
-72,20712.52169,9.911912,0.9476,pre
-71,10077246.093763,9.916055,0.8687,pre
