h,abs_flow,abs_basis,rolling_arb_r,phase
-552,191119.832912,4.9e-05,,pre
-551,144639.312966,5e-05,,pre
-550,77875.0,5e-05,,pre
-549,67682.474457,5e-05,,pre
-548,55139.164907,5e-05,,pre
-547,0.0,5e-05,-0.732,pre
-546,8310.7402,5e-05,,pre
-545,369328.344979,5e-05,,pre
-544,11246.196365,5e-05,,pre
-542,3267.665288,5e-05,,pre
-541,0.0,5e-05,,pre
-540,50124.426628,8.1e-05,-0.0792,pre
-539,4932.41438,0.00015,-0.2559,pre
-538,144639.633974,0.000168,0.6692,pre
-537,2845807.055019,0.00025,0.7951,pre
-536,631569.791628,0.00025,0.6801,pre
-535,426105.105996,0.00025,0.5741,pre
-534,483569.83469,0.00025,0.5045,pre
-533,41764.666865,0.00025,0.2898,pre
-532,40625.0,0.00025,,pre
-531,14696.874383,0.00025,,pre
-529,0.0,0.000249,0.3676,pre
-528,0.0,0.000249,0.3937,pre
-527,281394.196042,0.00025,0.4501,pre
-526,50129.781296,0.00025,0.4612,pre
-525,135503.46398,0.000248,0.1107,pre
-523,15208.807766,0.00025,0.1115,pre
-522,491408.671166,0.00025,0.2691,pre
-520,8298.397899,0.00025,0.0725,pre
-519,100040.0,0.00025,-0.0056,pre
-518,41635.803275,0.00025,-0.0093,pre
-517,49420.459388,0.00025,,pre
-516,267340.957857,0.00025,,pre
-515,204955.415267,0.00025,,pre
-514,0.0,0.000206,0.5197,pre
-513,1493316.722074,0.00015,-0.8462,pre
-512,5538.644283,0.00015,-0.4783,pre
-511,90664.916318,0.00015,-0.2872,pre
-510,674356.310698,0.00015,-0.3494,pre
-509,67012.8097,0.00015,-0.3179,pre
-508,65263.208004,0.00015,,pre
-507,5000.0,0.00015,,pre
-506,0.0,0.00015,,pre
-505,1431850.603883,0.000149,-0.8955,pre
-504,54370.0,0.000149,-0.6425,pre
-503,25847.227202,0.000149,-0.4595,pre
-502,689916.287322,0.000149,-0.4828,pre
-501,59334.213907,0.000149,-0.3184,pre
-500,171461.061153,0.00015,-0.2042,pre
-499,235107.699942,0.00015,-0.0084,pre
-498,101245.25,0.000149,-0.0333,pre
-497,0.0,0.000151,-0.4237,pre
-495,8570.0,0.00015,-0.1846,pre
-494,0.0,0.00015,-0.3184,pre
-492,1516020.694115,0.000276,0.9876,pre
-491,424004.245202,0.000258,0.865,pre
-489,1087.430147,0.000309,0.4876,pre
-488,627618.159702,0.00035,0.4376,pre
-487,230637.041453,0.00035,0.1803,pre
-486,123161.233945,0.00035,-0.4447,pre
-485,5297264.593569,0.000251,-0.6296,pre
-482,49191.455393,0.000248,-0.5356,pre
-481,1078.398041,0.000249,-0.3686,pre
-480,100000.0,0.000251,-0.2781,pre
-479,4962.832798,0.00025,-0.1723,pre
-478,30850.0,0.00025,0.4948,pre
-477,751864.069427,0.00025,0.2063,pre
-476,167472.170553,0.000304,-0.0119,pre
-474,465400.840482,0.00035,0.2632,pre
-473,1.0,0.00035,-0.0601,pre
-472,654799.092141,0.000348,-0.0207,pre
-471,681.574949,0.00035,-0.4973,pre
-470,291502.395774,0.00035,0.1538,pre
-469,23754.031229,0.00035,-0.7314,pre
-468,4666004.415752,0.00035,0.0757,pre
-467,59593.721221,0.00035,0.0785,pre
-466,602050.441992,0.000306,0.0902,pre
