h,abs_flow,abs_basis,rolling_arb_r,phase
32,2868353.264082,0.094499,,panic
33,3922558.847773,0.090452,,panic
34,3181803.808303,0.087686,,panic
35,1720610.760634,0.069353,,panic
36,4507094.119936,0.062753,,panic
37,1994057.873184,0.059794,0.2143,panic
38,26299937.281555,0.039177,-0.7178,panic
39,6168522.534114,0.040986,-0.636,panic
40,1223796.88328,0.050117,-0.6512,panic
41,91812664.431629,0.045721,-0.3613,panic
42,942302.570622,0.040632,-0.1549,panic
43,342349.055091,0.031155,0.3078,panic
44,1306231.597676,0.034516,0.3757,panic
45,1117514.92102,0.032579,0.4253,panic
46,231943.463021,0.0361,0.8011,panic
47,380667.078771,0.040203,-0.0945,panic
48,1768779.750934,0.04922,0.5229,panic
49,3484666.103524,0.059608,0.8348,panic
50,2970016.972168,0.057372,0.9091,panic
51,7428060.833132,0.052802,0.6454,panic
52,1703812.011161,0.049943,0.5219,panic
53,5901373.15017,0.046207,-0.1078,panic
54,7956664.764261,0.050669,-0.3533,panic
55,4850556.724313,0.04674,-0.1853,panic
56,585350.605239,0.050333,0.0977,panic
57,1301601.145327,0.05154,-0.4217,panic
58,5489555.299312,0.052834,-0.2066,panic
59,11684033.756074,0.048115,-0.3432,panic
60,2050811.490993,0.046481,-0.189,panic
61,4599130.36588,0.047083,-0.1795,panic
62,3460704.922404,0.044575,0.0133,panic
63,1696667.432716,0.039188,0.4974,panic
64,15578490.790757,0.029171,-0.5236,panic
65,7407111.988151,0.015433,-0.5697,panic
66,4419739.208743,0.014256,-0.2971,panic
67,169593.336512,0.012582,0.0207,panic
68,3159596.442218,0.01163,0.2443,panic
69,1081159.518075,0.009836,0.9559,panic
70,2919147.912104,0.011389,0.7731,panic
71,515461.709394,0.012854,0.3209,panic
72,1073768.879188,0.013054,-0.3495,recovery
73,28547.14171,0.012805,-0.3858,recovery
74,953201.97191,0.012042,-0.4089,recovery
75,4675241.673556,0.013294,0.0121,recovery
76,85807.127002,0.013971,0.09,recovery
77,377589.063053,0.013718,-0.0316,recovery
78,1385111.536229,0.011593,-0.0503,recovery
79,4417731.779975,0.007867,-0.5571,recovery
80,3689754.630499,0.007342,-0.6116,recovery
81,159026.42286,0.007594,-0.6439,recovery
82,11072472.136841,0.006498,-0.6106,recovery
83,17768854.372443,0.005276,-0.7178,recovery
84,4152723.043633,0.004385,-0.4693,recovery
85,3289720.730356,0.004373,-0.2279,recovery
86,60219.984903,0.004821,-0.0145,recovery
87,3625792.086962,0.005241,0.5338,recovery
88,2223909.50804,0.004745,0.5274,recovery
89,631377.645081,0.004829,-0.2529,recovery
90,1281037.942378,0.004869,0.0179,recovery
91,1946223.857935,0.005145,0.6858,recovery
92,199428.32953,0.005362,0.0456,recovery
93,1139174.034906,0.005684,-0.3536,recovery
94,807075.440802,0.005734,-0.1479,recovery
95,351006.660651,0.00586,-0.541,recovery
96,924588.532571,0.005891,-0.4713,recovery
97,482177.541608,0.006379,0.0658,recovery
98,1198350.011366,0.006418,-0.0239,recovery
99,4149012.660905,0.005845,-0.2332,recovery
100,1691396.582055,0.005809,-0.3661,recovery
101,2159456.780191,0.005617,-0.5325,recovery
102,2757387.73406,0.005514,-0.6455,recovery
103,4817503.405089,0.006263,0.0496,recovery
104,4673722.646738,0.005255,0.1639,recovery
105,1613565.821371,0.005062,0.3592,recovery
106,622841.279434,0.004917,0.6863,recovery
107,1821224.815846,0.004305,0.6984,recovery
108,2538162.790956,0.003642,0.5392,recovery
109,707729.460515,0.004455,0.1937,recovery
110,1342128.491266,0.005011,-0.6471,recovery
111,559910.920617,0.004603,-0.7522,recovery
112,2478892.427151,0.004464,-0.5708,recovery
113,1725928.969336,0.004036,-0.56,recovery
114,2712364.487938,0.003956,-0.5218,recovery
115,57098.835526,0.004035,-0.1489,recovery
116,2041696.379134,0.004905,0.0443,recovery
117,3303186.954501,0.005354,0.5566,recovery
118,1587430.663468,0.005721,0.3204,recovery
119,2494762.084892,0.006474,0.3617,recovery
120,1459868.86551,0.006176,0.5335,recovery
121,2779816.356177,0.005804,-0.1745,recovery
122,908736.306214,0.005871,-0.3095,recovery
123,180665.964604,0.005796,0.3863,recovery
124,2023350.497628,0.005457,0.1935,recovery
125,179459.744047,0.005291,0.2127,recovery
126,946283.504905,0.005404,0.2269,recovery
127,2772709.806831,0.005,-0.5955,recovery
128,4602758.3921,0.003821,-0.8911,recovery
129,4919140.868565,0.003285,-0.9049,recovery
130,2348252.096363,0.002686,-0.6441,recovery
131,2659200.101644,0.002493,-0.3744,recovery
132,779020.086414,0.00293,0.2686,recovery
133,1690247.159493,0.003065,0.6149,recovery
134,4110321.723621,0.00352,0.5404,recovery
135,1640692.295392,0.004014,0.0659,recovery
136,269485.94005,0.004202,-0.2856,recovery
137,309966.134725,0.003852,-0.2178,recovery
138,1337281.778,0.00374,-0.4848,recovery
139,223175.609852,0.003675,-0.5714,recovery
140,151583.952851,0.00364,0.1845,recovery
141,276802.76567,0.003422,0.005,recovery
142,1079001.174117,0.003499,0.0055,recovery
143,1545153.100434,0.003439,-0.1301,recovery
144,811136.257377,0.003267,-0.4856,recovery
145,1532092.189297,0.003105,-0.5793,recovery
146,1070776.712736,0.003294,-0.3084,recovery
147,817512.09846,0.003125,0.1357,recovery
148,58571.185759,0.003155,0.3812,recovery
149,1045740.013179,0.003061,-0.126,recovery
150,266963.384827,0.003151,-0.0946,recovery
151,147137.256658,0.003073,0.2759,recovery
152,3136635.485873,0.002843,-0.9428,recovery
153,6404683.379057,0.002237,-0.983,recovery
154,4082034.322628,0.001814,-0.8155,recovery
155,3312964.094641,0.001674,-0.6868,recovery
156,43694647.008769,0.0024,-0.016,recovery
157,1045863.970183,0.002747,0.0748,recovery
158,18127431.440499,0.001905,0.1897,recovery
159,1330234.947108,0.00238,0.1201,recovery
160,208027.210254,0.002573,-0.0817,recovery
161,931154.595509,0.002471,-0.3792,recovery
162,241849.432406,0.002395,-0.8749,recovery
163,2164670.488483,0.00217,-0.8783,recovery
164,5557330.792446,0.002354,-0.4323,recovery
165,89769.728707,0.002556,-0.5188,recovery
166,699508.370905,0.002696,-0.4619,recovery
167,647500.466667,0.002783,-0.4827,recovery
168,1535118.311534,0.002835,-0.537,post
169,3455944.578958,0.002777,-0.5304,post
170,428251.06923,0.002654,0.5994,post
171,1424222.303823,0.002469,0.2138,post
172,2311156.038123,0.00246,-0.014,post
173,2354821.064198,0.0027,0.1939,post
174,3375789.724543,0.002655,0.392,post
175,7899635.670854,0.00237,-0.5754,post
176,2300240.330622,0.002015,-0.07,post
177,14633724.401825,0.001293,-0.8092,post
178,5922389.527683,0.001711,-0.7421,post
179,649250.286019,0.002239,-0.6803,post
180,1306498.887445,0.001425,-0.3909,post
181,6210680.674554,0.001908,-0.6316,post
182,613597.334185,0.002035,-0.652,post
183,3181523.586707,0.002303,-0.1794,post
184,1432544.381906,0.002491,-0.0922,post
185,1061242.150111,0.002398,-0.1201,post
186,954352.625731,0.002371,-0.606,post
187,985852.166542,0.002443,0.1356,post
188,938238.583129,0.002476,-0.6789,post
189,2307779.305266,0.002553,0.8064,post
190,976634.127076,0.002561,0.5194,post
191,501287.523586,0.002578,0.1573,post
192,399480.491483,0.002718,-0.3224,post
193,213702.399032,0.002654,-0.5031,post
194,2419008.205806,0.002743,0.0304,post
195,169553.91484,0.002733,0.2237,post
196,245313.68271,0.002746,0.26,post
197,249128.330008,0.002634,0.3934,post
198,896534.791014,0.002658,0.3485,post
199,1421134.991742,0.002694,0.2394,post
200,1244323.677236,0.00289,0.3197,post
201,1331313.560011,0.003091,0.5221,post
202,2134275.730278,0.002957,0.6283,post
203,1024578.467629,0.002848,0.4308,post
204,7508417.719912,0.002903,0.0488,post
205,3125527.001521,0.003246,-0.0253,post
206,1297372.816229,0.003306,-0.282,post
207,21863.106811,0.003314,-0.4364,post
208,1164947.314537,0.003321,-0.5192,post
209,707244.75025,0.002933,-0.5835,post
210,93504.525621,0.002868,0.3659,post
211,592899.793786,0.002925,0.4122,post
212,236747.105984,0.002954,0.2608,post
213,520114.362386,0.002863,0.8077,post
214,35303.739059,0.002854,0.468,post
215,180977.961871,0.002917,0.2603,post
216,198688.49321,0.002867,0.2098,post
217,109299.894879,0.002895,-0.042,post
218,59413.139797,0.002959,-0.3683,post
