h,abs_flow,abs_basis,rolling_arb_r,phase
-120,4757830.413589,5e-05,,pre
-119,14925.648382,5e-05,,pre
-118,5144323.946296,0.0001,,pre
-117,372988.181155,0.000112,,pre
-116,3702596.879231,4.8e-05,,pre
-115,8178096.967472,9.3e-05,0.1291,pre
-114,1102841.885835,0.00017,-0.1206,pre
-113,5243604.06634,0.000225,-0.1091,pre
-112,102454.304414,0.000256,-0.3461,pre
-111,500525.33706,0.000305,-0.614,pre
-110,1001067.200877,0.00035,-0.7277,pre
-109,6497468.257702,0.000358,0.2123,pre
-108,236811.844511,0.000357,-0.0884,pre
-107,26540.964198,0.00035,0.3721,pre
-106,641872.217589,0.000446,-0.0126,pre
-105,4572.0,0.000449,-0.2944,pre
-104,201939.848282,0.00045,-0.3931,pre
-103,128011.215435,0.000418,0.2968,pre
-102,3562784.069016,0.000436,0.2065,pre
-101,383112.197937,0.00045,-0.1701,pre
-100,1601.815186,0.000464,-0.2754,pre
-99,37462.148923,0.00055,-0.3071,pre
-97,2000992.33363,0.000474,-0.2852,pre
-96,24952.279354,0.00045,-0.4066,pre
-95,45501.002271,0.000444,-0.0204,pre
-94,70618.922951,0.000442,0.0375,pre
-93,24912.728945,0.000449,0.0666,pre
-92,232623.840961,0.00045,0.9574,pre
-91,3645.0,0.000451,0.0491,pre
-90,147944.316413,0.000452,0.2675,pre
-89,77669.278927,0.00045,0.1685,pre
-88,3435.454582,0.00045,0.2332,pre
-87,4034.0,0.00045,0.1628,pre
-85,20984.011795,0.00045,0.693,pre
-84,38337.0,0.00045,0.8699,pre
-83,94958.452851,0.000451,0.6995,pre
-82,2533218.209979,0.000433,-0.9968,pre
-81,136057.525806,0.00045,-0.9968,pre
-80,63273.386802,0.000403,-0.151,pre
-79,119926.272513,0.00035,0.1203,pre
-78,153483.356437,0.000392,0.2492,pre
-77,62017.834304,0.00045,0.245,pre
-76,7079.860652,0.00045,-0.4658,pre
-75,139132.519199,0.000369,-0.7931,pre
-74,109574.997495,0.000357,-0.7813,pre
-73,2277166.357687,0.000348,-0.5409,pre
-72,558935.584948,0.00035,-0.5207,pre
-71,109330.5367,0.00035,-0.3877,pre
-70,163151.824725,0.00035,-0.4418,pre
-69,5298.178046,0.00035,-0.5331,pre
-68,308415.794591,0.000254,0.1248,pre
-67,202865.547204,0.00025,-0.1204,pre
-66,2106518.80267,0.00026,-0.4842,pre
-65,43792.751784,0.000349,-0.4948,pre
-64,178294.862943,0.000319,-0.4891,pre
-63,2715055.533387,0.000225,-0.6305,pre
-62,366430.434056,0.00025,-0.6243,pre
-61,69031.302972,0.000159,-0.2336,pre
-60,1097260.774926,0.000151,-0.3112,pre
-59,6217224.477413,0.00015,-0.4359,pre
-58,4102431.962963,0.00015,-0.3861,pre
-57,136367.287683,0.00015,-0.3525,pre
-56,412661.001796,9.9e-05,0.2233,pre
-55,4153758.821779,5e-05,-0.0622,pre
-54,1134966.760974,4.9e-05,0.2074,pre
-53,1890680.593602,4.9e-05,-0.1056,pre
-52,5589425.544902,5e-05,-0.6445,pre
-51,1885295.570058,4.9e-05,-0.5076,pre
-50,250930.006428,5e-05,0.4633,pre
-49,377748.758191,5e-05,0.1196,pre
-48,972736.325874,4.9e-05,0.1338,pre
-47,18481.171657,4.9e-05,0.2883,pre
-46,1307915.614549,4.9e-05,-0.5276,pre
-45,1980574.863,5e-05,0.0747,pre
-44,3830589.928806,4.9e-05,-0.1342,pre
-43,3417.511643,5e-05,-0.195,pre
-42,1925801.516575,5e-05,-0.1585,pre
-41,98948.14603,4.8e-05,0.1314,pre
-40,177640.682482,5e-05,-0.0031,pre
-39,314327.569455,4.8e-05,0.0841,pre
-38,0.0,4.8e-05,0.4257,pre
-37,402980.535777,4.9e-05,0.6111,pre
-36,1365760.983987,4.9e-05,0.3614,pre
-35,979053.6972,4.8e-05,0.1835,pre
-34,6003102.430001,5e-05,0.7817,pre
-33,12218.406998,0.000125,-0.2898,pre
-32,24745.323332,0.000209,-0.4426,pre
-31,999323.734706,0.000252,-0.4704,pre
-30,169524.735721,0.000212,-0.5709,pre
-29,2736906.631293,0.000151,-0.7493,pre
-28,61707.510512,0.00015,-0.0659,pre
-27,132930.9121,0.000149,-0.1626,pre
-25,23835.814085,0.000214,-0.1748,pre
-24,84643.18201,0.000178,-0.3948,pre
-23,568697.776336,0.00025,-0.2371,pre
-22,21110.381633,0.00025,0.3987,pre
