table,claim_level,n_rows
table_granger_usdt_curve_2023.csv,A_A_dex_flow,2
table_tvp_var_spillovers_busd_2023.csv,A_A_dex_flow,5
table_tvp_var_spillovers_ftx_2022.csv,A_A_dex_flow,23
table_tvp_var_spillovers_terra_luna_2022.csv,A_A_dex_flow,20
table_tvp_var_spillovers_usdc_svb_2023.csv,A_A_dex_flow,5
table_tvp_var_spillovers_usdt_curve_2023.csv,A_A_dex_flow,24
table_tvp_var_summary.csv,A_A_dex_flow,4
table_tvp_var_summary_terra_luna_2022.csv,A_A_dex_flow,2
table_tvp_var_summary_usdt_curve_2023.csv,A_A_dex_flow,2
table_var_spillovers.csv,A_A_dex_flow,4
table_var_spillovers_usdt_curve_2023.csv,A_A_dex_flow,4
table_sparse_events_usdc_svb_2023.csv,A_A_onchain_settlement,1
table_granger_usdt_curve_2023.csv,A_B_suggestive_directional,4
table_sparse_events_usdc_svb_2023.csv,A_B_suggestive_directional,5
table_tvp_var_spillovers_busd_2023.csv,A_B_suggestive_directional,30
table_tvp_var_spillovers_ftx_2022.csv,A_B_suggestive_directional,92
table_tvp_var_spillovers_terra_luna_2022.csv,A_B_suggestive_directional,40
table_tvp_var_spillovers_usdc_svb_2023.csv,A_B_suggestive_directional,30
table_tvp_var_spillovers_usdt_curve_2023.csv,A_B_suggestive_directional,24
table_tvp_var_summary.csv,A_B_suggestive_directional,28
table_tvp_var_summary_busd_2023.csv,A_B_suggestive_directional,6
table_tvp_var_summary_ftx_2022.csv,A_B_suggestive_directional,4
table_tvp_var_summary_terra_luna_2022.csv,A_B_suggestive_directional,8
table_tvp_var_summary_usdc_svb_2023.csv,A_B_suggestive_directional,6
table_tvp_var_summary_usdt_curve_2023.csv,A_B_suggestive_directional,4
table_var_spillovers.csv,A_B_suggestive_directional,4
table_var_spillovers_usdt_curve_2023.csv,A_B_suggestive_directional,4
table_tvp_var_spillovers_busd_2023.csv,B_B_context_only,45
table_tvp_var_spillovers_ftx_2022.csv,B_B_context_only,92
table_tvp_var_spillovers_terra_luna_2022.csv,B_B_context_only,20
table_tvp_var_spillovers_usdc_svb_2023.csv,B_B_context_only,45
table_tvp_var_spillovers_usdt_curve_2023.csv,B_B_context_only,6
table_tvp_var_summary.csv,B_B_context_only,16
table_tvp_var_summary_busd_2023.csv,B_B_context_only,6
table_tvp_var_summary_ftx_2022.csv,B_B_context_only,2
table_tvp_var_summary_terra_luna_2022.csv,B_B_context_only,2
table_tvp_var_summary_usdc_svb_2023.csv,B_B_context_only,6
table_var_spillovers.csv,B_B_context_only,1
table_var_spillovers_usdt_curve_2023.csv,B_B_context_only,1
