lead_h_vs_market_signal,frac_liquidated,ust_price_at_alert,ust_loss_avoided_usd
0,0.25,0.4965,0.0
0,0.5,0.4965,0.0
0,0.75,0.4965,0.0
0,1.0,0.4965,0.0
24,0.25,0.9007,101043.0
24,0.5,0.9007,202086.0
24,0.75,0.9007,303129.0
24,1.0,0.9007,404172.0
48,0.25,0.9951,124650.0
48,0.5,0.9951,249300.0
48,0.75,0.9951,373951.0
48,1.0,0.9951,498601.0
72,0.25,0.9943,124442.0
72,0.5,0.9943,248883.0
72,0.75,0.9943,373325.0
72,1.0,0.9943,497767.0
116,0.25,0.9997,125812.0
116,0.5,0.9997,251623.0
116,0.75,0.9997,377435.0
116,1.0,0.9997,503247.0
