node_i,node_j,peak_lag_steps,peak_corr,p_value,significant_p01,p_value_fdr,significant_fdr,check,event_id
usdc_binance,usdt_binance,0,0.9999999999999998,0.0,true,0.0,true,baseline_60s,busd_2023
usdc_binance,busd_binance,58,0.8472830463264689,0.0,true,0.0,true,baseline_60s,busd_2023
usdt_binance,usdc_binance,0,0.9999999999999998,0.0,true,0.0,true,baseline_60s,busd_2023
usdt_binance,busd_binance,58,0.8472830463264689,0.0,true,0.0,true,baseline_60s,busd_2023
busd_binance,usdc_binance,-58,0.8472830463264689,0.0,true,0.0,true,baseline_60s,busd_2023
busd_binance,usdt_binance,-58,0.8472830463264689,0.0,true,0.0,true,baseline_60s,busd_2023
busd_binance,curve_3pool,36,-0.25551730478321205,0.585,false,0.585,false,baseline_60s,busd_2023
curve_3pool,busd_binance,-36,-0.2555173047832121,0.245,false,0.27999999999999997,false,baseline_60s,busd_2023
usdc_binance,usdt_binance,0,0.9999999999999998,0.0,true,0.0,true,grid_1s,busd_2023
usdc_binance,busd_binance,58,0.8472830463264689,0.0,true,0.0,true,grid_1s,busd_2023
usdt_binance,usdc_binance,0,0.9999999999999998,0.0,true,0.0,true,grid_1s,busd_2023
usdt_binance,busd_binance,58,0.8472830463264689,0.0,true,0.0,true,grid_1s,busd_2023
busd_binance,usdc_binance,-58,0.8472830463264689,0.0,true,0.0,true,grid_1s,busd_2023
busd_binance,usdt_binance,-58,0.8472830463264689,0.0,true,0.0,true,grid_1s,busd_2023
busd_binance,curve_3pool,36,-0.25551730478321205,0.585,false,0.585,false,grid_1s,busd_2023
curve_3pool,busd_binance,-36,-0.2555173047832121,0.245,false,0.27999999999999997,false,grid_1s,busd_2023
usdc_binance,usdt_binance,0,0.9999999999999998,0.0,true,0.0,true,grid_5s,busd_2023
usdc_binance,busd_binance,58,0.8472830463264689,0.0,true,0.0,true,grid_5s,busd_2023
usdt_binance,usdc_binance,0,0.9999999999999998,0.0,true,0.0,true,grid_5s,busd_2023
usdt_binance,busd_binance,58,0.8472830463264689,0.0,true,0.0,true,grid_5s,busd_2023
busd_binance,usdc_binance,-58,0.8472830463264689,0.0,true,0.0,true,grid_5s,busd_2023
busd_binance,usdt_binance,-58,0.8472830463264689,0.0,true,0.0,true,grid_5s,busd_2023
busd_binance,curve_3pool,36,-0.25551730478321205,0.585,false,0.585,false,grid_5s,busd_2023
curve_3pool,busd_binance,-36,-0.2555173047832121,0.245,false,0.27999999999999997,false,grid_5s,busd_2023
usdc_binance,usdt_binance,0,0.9999999999999998,0.0,true,0.0,true,grid_60s,busd_2023
usdc_binance,busd_binance,58,0.8472830463264689,0.0,true,0.0,true,grid_60s,busd_2023
usdt_binance,usdc_binance,0,0.9999999999999998,0.0,true,0.0,true,grid_60s,busd_2023
usdt_binance,busd_binance,58,0.8472830463264689,0.0,true,0.0,true,grid_60s,busd_2023
busd_binance,usdc_binance,-58,0.8472830463264689,0.0,true,0.0,true,grid_60s,busd_2023
busd_binance,usdt_binance,-58,0.8472830463264689,0.0,true,0.0,true,grid_60s,busd_2023
busd_binance,curve_3pool,36,-0.25551730478321205,0.585,false,0.585,false,grid_60s,busd_2023
curve_3pool,busd_binance,-36,-0.2555173047832121,0.245,false,0.27999999999999997,false,grid_60s,busd_2023
usdc_binance,usdt_binance,0,0.9999999999999998,0.0,true,0.0,true,cex_only,busd_2023
usdc_binance,busd_binance,58,0.8472830463264689,0.0,true,0.0,true,cex_only,busd_2023
usdt_binance,usdc_binance,0,0.9999999999999998,0.0,true,0.0,true,cex_only,busd_2023
usdt_binance,busd_binance,58,0.8472830463264689,0.0,true,0.0,true,cex_only,busd_2023
busd_binance,usdc_binance,-58,0.8472830463264689,0.0,true,0.0,true,cex_only,busd_2023
busd_binance,usdt_binance,-58,0.8472830463264689,0.0,true,0.0,true,cex_only,busd_2023
usdc_binance,busd_binance,58,0.8472830463264689,0.0,true,0.0,true,no_binance,busd_2023
busd_binance,usdc_binance,-58,0.8472830463264689,0.0,true,0.0,true,no_binance,busd_2023
busd_binance,curve_3pool,36,-0.25551730478321205,0.545,false,0.545,false,no_binance,busd_2023
curve_3pool,busd_binance,-36,-0.2555173047832121,0.315,false,0.42,false,no_binance,busd_2023
usdc_binance,usdt_binance,0,0.9999999999999998,0.0,true,0.0,true,block_50,busd_2023
usdc_binance,busd_binance,58,0.8472830463264689,0.0,true,0.0,true,block_50,busd_2023
usdt_binance,usdc_binance,0,0.9999999999999998,0.0,true,0.0,true,block_50,busd_2023
usdt_binance,busd_binance,58,0.8472830463264689,0.0,true,0.0,true,block_50,busd_2023
busd_binance,usdc_binance,-58,0.8472830463264689,0.0,true,0.0,true,block_50,busd_2023
busd_binance,usdt_binance,-58,0.8472830463264689,0.0,true,0.0,true,block_50,busd_2023
busd_binance,curve_3pool,36,-0.25551730478321205,0.265,false,0.265,false,block_50,busd_2023
curve_3pool,busd_binance,-36,-0.2555173047832121,0.255,false,0.265,false,block_50,busd_2023
usdc_binance,usdt_binance,0,0.9999999999999998,0.0,true,0.0,true,block_300,busd_2023
usdc_binance,busd_binance,58,0.8472830463264689,0.0,true,0.0,true,block_300,busd_2023
usdt_binance,usdc_binance,0,0.9999999999999998,0.0,true,0.0,true,block_300,busd_2023
usdt_binance,busd_binance,58,0.8472830463264689,0.0,true,0.0,true,block_300,busd_2023
busd_binance,usdc_binance,-58,0.8472830463264689,0.0,true,0.0,true,block_300,busd_2023
busd_binance,usdt_binance,-58,0.8472830463264689,0.0,true,0.0,true,block_300,busd_2023
