node_i,node_j,peak_lag_steps,peak_corr,p_value,significant_p01,p_value_fdr,significant_fdr,check,event_id
usdt_binance,ust_binance,5,-0.251350774291623,0.005,true,0.02,true,baseline_60s,terra_luna_2022
usdt_binance,curve_3pool,-59,0.32142766987021404,0.355,false,0.438,false,baseline_60s,terra_luna_2022
usdt_binance,curve_ust_wormhole,-59,0.32142766987021404,0.34,false,0.438,false,baseline_60s,terra_luna_2022
ust_binance,usdt_binance,-5,-0.251350774291623,0.015,false,0.045,true,baseline_60s,terra_luna_2022
ust_binance,curve_3pool,-60,-0.2985470543642913,0.365,false,0.438,false,baseline_60s,terra_luna_2022
ust_binance,curve_ust_wormhole,-60,-0.2985470543642913,0.33,false,0.438,false,baseline_60s,terra_luna_2022
curve_3pool,usdt_binance,59,0.32142766987021404,0.235,false,0.438,false,baseline_60s,terra_luna_2022
curve_3pool,ust_binance,60,-0.2985470543642913,0.56,false,0.56,false,baseline_60s,terra_luna_2022
curve_3pool,curve_ust_wormhole,0,1.0,0.0,true,0.0,true,baseline_60s,terra_luna_2022
curve_ust_wormhole,usdt_binance,59,0.32142766987021404,0.25,false,0.438,false,baseline_60s,terra_luna_2022
curve_ust_wormhole,ust_binance,60,-0.2985470543642913,0.455,false,0.49636363636363634,false,baseline_60s,terra_luna_2022
curve_ust_wormhole,curve_3pool,0,1.0,0.0,true,0.0,true,baseline_60s,terra_luna_2022
usdt_binance,ust_binance,5,-0.251350774291623,0.005,true,0.02,true,grid_1s,terra_luna_2022
usdt_binance,curve_3pool,-59,0.32142766987021404,0.355,false,0.438,false,grid_1s,terra_luna_2022
usdt_binance,curve_ust_wormhole,-59,0.32142766987021404,0.34,false,0.438,false,grid_1s,terra_luna_2022
ust_binance,usdt_binance,-5,-0.251350774291623,0.015,false,0.045,true,grid_1s,terra_luna_2022
ust_binance,curve_3pool,-60,-0.2985470543642913,0.365,false,0.438,false,grid_1s,terra_luna_2022
ust_binance,curve_ust_wormhole,-60,-0.2985470543642913,0.33,false,0.438,false,grid_1s,terra_luna_2022
curve_3pool,usdt_binance,59,0.32142766987021404,0.235,false,0.438,false,grid_1s,terra_luna_2022
curve_3pool,ust_binance,60,-0.2985470543642913,0.56,false,0.56,false,grid_1s,terra_luna_2022
curve_3pool,curve_ust_wormhole,0,1.0,0.0,true,0.0,true,grid_1s,terra_luna_2022
curve_ust_wormhole,usdt_binance,59,0.32142766987021404,0.25,false,0.438,false,grid_1s,terra_luna_2022
curve_ust_wormhole,ust_binance,60,-0.2985470543642913,0.455,false,0.49636363636363634,false,grid_1s,terra_luna_2022
curve_ust_wormhole,curve_3pool,0,1.0,0.0,true,0.0,true,grid_1s,terra_luna_2022
usdt_binance,ust_binance,5,-0.251350774291623,0.005,true,0.02,true,grid_5s,terra_luna_2022
usdt_binance,curve_3pool,-59,0.32142766987021404,0.355,false,0.438,false,grid_5s,terra_luna_2022
usdt_binance,curve_ust_wormhole,-59,0.32142766987021404,0.34,false,0.438,false,grid_5s,terra_luna_2022
ust_binance,usdt_binance,-5,-0.251350774291623,0.015,false,0.045,true,grid_5s,terra_luna_2022
ust_binance,curve_3pool,-60,-0.2985470543642913,0.365,false,0.438,false,grid_5s,terra_luna_2022
ust_binance,curve_ust_wormhole,-60,-0.2985470543642913,0.33,false,0.438,false,grid_5s,terra_luna_2022
curve_3pool,usdt_binance,59,0.32142766987021404,0.235,false,0.438,false,grid_5s,terra_luna_2022
curve_3pool,ust_binance,60,-0.2985470543642913,0.56,false,0.56,false,grid_5s,terra_luna_2022
curve_3pool,curve_ust_wormhole,0,1.0,0.0,true,0.0,true,grid_5s,terra_luna_2022
curve_ust_wormhole,usdt_binance,59,0.32142766987021404,0.25,false,0.438,false,grid_5s,terra_luna_2022
curve_ust_wormhole,ust_binance,60,-0.2985470543642913,0.455,false,0.49636363636363634,false,grid_5s,terra_luna_2022
curve_ust_wormhole,curve_3pool,0,1.0,0.0,true,0.0,true,grid_5s,terra_luna_2022
usdt_binance,ust_binance,5,-0.251350774291623,0.005,true,0.02,true,grid_60s,terra_luna_2022
usdt_binance,curve_3pool,-59,0.32142766987021404,0.355,false,0.438,false,grid_60s,terra_luna_2022
usdt_binance,curve_ust_wormhole,-59,0.32142766987021404,0.34,false,0.438,false,grid_60s,terra_luna_2022
ust_binance,usdt_binance,-5,-0.251350774291623,0.015,false,0.045,true,grid_60s,terra_luna_2022
ust_binance,curve_3pool,-60,-0.2985470543642913,0.365,false,0.438,false,grid_60s,terra_luna_2022
ust_binance,curve_ust_wormhole,-60,-0.2985470543642913,0.33,false,0.438,false,grid_60s,terra_luna_2022
curve_3pool,usdt_binance,59,0.32142766987021404,0.235,false,0.438,false,grid_60s,terra_luna_2022
curve_3pool,ust_binance,60,-0.2985470543642913,0.56,false,0.56,false,grid_60s,terra_luna_2022
curve_3pool,curve_ust_wormhole,0,1.0,0.0,true,0.0,true,grid_60s,terra_luna_2022
curve_ust_wormhole,usdt_binance,59,0.32142766987021404,0.25,false,0.438,false,grid_60s,terra_luna_2022
curve_ust_wormhole,ust_binance,60,-0.2985470543642913,0.455,false,0.49636363636363634,false,grid_60s,terra_luna_2022
curve_ust_wormhole,curve_3pool,0,1.0,0.0,true,0.0,true,grid_60s,terra_luna_2022
usdt_binance,ust_binance,5,-0.251350774291623,0.005,true,0.005,true,cex_only,terra_luna_2022
ust_binance,usdt_binance,-5,-0.251350774291623,0.005,true,0.005,true,cex_only,terra_luna_2022
ust_binance,curve_3pool,-60,-0.2985470543642913,0.365,false,0.525,false,no_binance,terra_luna_2022
ust_binance,curve_ust_wormhole,-60,-0.2985470543642913,0.38,false,0.525,false,no_binance,terra_luna_2022
curve_3pool,ust_binance,60,-0.2985470543642913,0.5,false,0.525,false,no_binance,terra_luna_2022
curve_3pool,curve_ust_wormhole,0,1.0,0.0,true,0.0,true,no_binance,terra_luna_2022
curve_ust_wormhole,ust_binance,60,-0.2985470543642913,0.525,false,0.525,false,no_binance,terra_luna_2022
curve_ust_wormhole,curve_3pool,0,1.0,0.0,true,0.0,true,no_binance,terra_luna_2022
usdt_binance,ust_binance,5,-0.251350774291623,0.0,true,0.0,true,block_50,terra_luna_2022
usdt_binance,curve_3pool,-59,0.32142766987021404,0.175,false,0.2127272727272727,false,block_50,terra_luna_2022
usdt_binance,curve_ust_wormhole,-59,0.32142766987021404,0.16,false,0.2127272727272727,false,block_50,terra_luna_2022
ust_binance,usdt_binance,-5,-0.251350774291623,0.0,true,0.0,true,block_50,terra_luna_2022
ust_binance,curve_3pool,-60,-0.2985470543642913,0.17,false,0.2127272727272727,false,block_50,terra_luna_2022
ust_binance,curve_ust_wormhole,-60,-0.2985470543642913,0.17,false,0.2127272727272727,false,block_50,terra_luna_2022
curve_3pool,usdt_binance,59,0.32142766987021404,0.195,false,0.2127272727272727,false,block_50,terra_luna_2022
curve_3pool,ust_binance,60,-0.2985470543642913,0.165,false,0.2127272727272727,false,block_50,terra_luna_2022
curve_3pool,curve_ust_wormhole,0,1.0,0.0,true,0.0,true,block_50,terra_luna_2022
curve_ust_wormhole,usdt_binance,59,0.32142766987021404,0.23,false,0.23,false,block_50,terra_luna_2022
curve_ust_wormhole,ust_binance,60,-0.2985470543642913,0.195,false,0.2127272727272727,false,block_50,terra_luna_2022
curve_ust_wormhole,curve_3pool,0,1.0,0.0,true,0.0,true,block_50,terra_luna_2022
usdt_binance,ust_binance,5,-0.251350774291623,0.005,true,0.02,true,block_300,terra_luna_2022
usdt_binance,curve_3pool,-59,0.32142766987021404,0.355,false,0.438,false,block_300,terra_luna_2022
usdt_binance,curve_ust_wormhole,-59,0.32142766987021404,0.34,false,0.438,false,block_300,terra_luna_2022
ust_binance,usdt_binance,-5,-0.251350774291623,0.015,false,0.045,true,block_300,terra_luna_2022
