node_i,node_j,peak_lag_steps,peak_corr,p_value,significant_p01,p_value_fdr,significant_fdr,check,event_id
usdt_binance,usdt_kraken,41,0.49362359719141735,0.175,false,1.0,false,baseline_60s,usdt_curve_2023
usdt_binance,curve_3pool,-1,-0.4455943930050632,0.335,false,1.0,false,baseline_60s,usdt_curve_2023
usdt_binance,uniswap_usdc_usdt_005,52,0.48978850096198917,0.19,false,1.0,false,baseline_60s,usdt_curve_2023
usdt_binance,curve_crvusd_usdt,-1,-0.6329829673329966,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
usdt_binance,tron_usdt_exchange_flows,31,-0.9598665292559911,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
usdt_binance,usdt_mint_burn,31,-0.9580120130370718,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
usdt_kraken,usdt_binance,-41,0.49362359719141735,0.13,false,1.0,false,baseline_60s,usdt_curve_2023
usdt_kraken,curve_3pool,-23,-0.9150640918269919,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
usdt_kraken,uniswap_usdc_usdt_005,-1,0.991342285637312,0.0,true,0.0,true,baseline_60s,usdt_curve_2023
usdt_kraken,curve_crvusd_usdt,-53,-0.9021810486111741,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
usdt_kraken,tron_usdt_exchange_flows,5,0.9921637416385805,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
usdt_kraken,usdt_mint_burn,4,0.9921678465602984,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
curve_3pool,usdt_binance,1,-0.4455943930050632,0.095,false,1.0,false,baseline_60s,usdt_curve_2023
curve_3pool,usdt_kraken,23,-0.9150640918269918,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
curve_3pool,uniswap_usdc_usdt_005,22,-0.9276878572755863,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
curve_3pool,curve_crvusd_usdt,-36,0.3263705906620653,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
curve_3pool,tron_usdt_exchange_flows,27,-0.9276337523656145,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
curve_3pool,usdt_mint_burn,26,-0.9289095112580884,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
uniswap_usdc_usdt_005,usdt_binance,-52,0.48978850096198917,0.17,false,1.0,false,baseline_60s,usdt_curve_2023
uniswap_usdc_usdt_005,usdt_kraken,1,0.991342285637312,0.0,true,0.0,true,baseline_60s,usdt_curve_2023
uniswap_usdc_usdt_005,curve_3pool,-22,-0.9276878572755862,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
uniswap_usdc_usdt_005,curve_crvusd_usdt,-52,0.9095433972824674,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
uniswap_usdc_usdt_005,tron_usdt_exchange_flows,5,0.9996649555941155,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
uniswap_usdc_usdt_005,usdt_mint_burn,4,0.9996554507467164,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
curve_crvusd_usdt,usdt_binance,1,-0.6329829673329966,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
curve_crvusd_usdt,usdt_kraken,53,-0.902181048611174,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
curve_crvusd_usdt,curve_3pool,36,0.3263705906620653,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
curve_crvusd_usdt,uniswap_usdc_usdt_005,52,0.9095433972824675,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
curve_crvusd_usdt,tron_usdt_exchange_flows,55,-0.9439946426371127,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
curve_crvusd_usdt,usdt_mint_burn,55,-0.9413872020665746,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
tron_usdt_exchange_flows,usdt_binance,-31,-0.9598665292559911,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
tron_usdt_exchange_flows,usdt_kraken,-5,0.9921637416385805,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
tron_usdt_exchange_flows,curve_3pool,-27,-0.9276337523656147,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
tron_usdt_exchange_flows,uniswap_usdc_usdt_005,-5,0.9996649555941154,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
tron_usdt_exchange_flows,curve_crvusd_usdt,-55,-0.9439946426371127,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
tron_usdt_exchange_flows,usdt_mint_burn,-1,0.9999999999999998,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
usdt_mint_burn,usdt_binance,-31,-0.958012013037072,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
usdt_mint_burn,usdt_kraken,-4,0.9921678465602984,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
usdt_mint_burn,curve_3pool,-26,-0.9289095112580883,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
usdt_mint_burn,uniswap_usdc_usdt_005,-4,0.9996554507467162,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
usdt_mint_burn,curve_crvusd_usdt,-55,-0.9413872020665744,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
usdt_mint_burn,tron_usdt_exchange_flows,1,0.9999999999999998,1.0,false,1.0,false,baseline_60s,usdt_curve_2023
usdt_binance,usdt_kraken,41,0.49362359719141735,0.175,false,1.0,false,grid_1s,usdt_curve_2023
usdt_binance,curve_3pool,-1,-0.4455943930050632,0.335,false,1.0,false,grid_1s,usdt_curve_2023
usdt_binance,uniswap_usdc_usdt_005,52,0.48978850096198917,0.19,false,1.0,false,grid_1s,usdt_curve_2023
usdt_binance,curve_crvusd_usdt,-1,-0.6329829673329966,1.0,false,1.0,false,grid_1s,usdt_curve_2023
usdt_binance,tron_usdt_exchange_flows,31,-0.9598665292559911,1.0,false,1.0,false,grid_1s,usdt_curve_2023
usdt_binance,usdt_mint_burn,31,-0.9580120130370718,1.0,false,1.0,false,grid_1s,usdt_curve_2023
usdt_kraken,usdt_binance,-41,0.49362359719141735,0.13,false,1.0,false,grid_1s,usdt_curve_2023
usdt_kraken,curve_3pool,-23,-0.9150640918269919,1.0,false,1.0,false,grid_1s,usdt_curve_2023
usdt_kraken,uniswap_usdc_usdt_005,-1,0.991342285637312,0.0,true,0.0,true,grid_1s,usdt_curve_2023
usdt_kraken,curve_crvusd_usdt,-53,-0.9021810486111741,1.0,false,1.0,false,grid_1s,usdt_curve_2023
usdt_kraken,tron_usdt_exchange_flows,5,0.9921637416385805,1.0,false,1.0,false,grid_1s,usdt_curve_2023
usdt_kraken,usdt_mint_burn,4,0.9921678465602984,1.0,false,1.0,false,grid_1s,usdt_curve_2023
curve_3pool,usdt_binance,1,-0.4455943930050632,0.095,false,1.0,false,grid_1s,usdt_curve_2023
curve_3pool,usdt_kraken,23,-0.9150640918269918,1.0,false,1.0,false,grid_1s,usdt_curve_2023
curve_3pool,uniswap_usdc_usdt_005,22,-0.9276878572755863,1.0,false,1.0,false,grid_1s,usdt_curve_2023
curve_3pool,curve_crvusd_usdt,-36,0.3263705906620653,1.0,false,1.0,false,grid_1s,usdt_curve_2023
curve_3pool,tron_usdt_exchange_flows,27,-0.9276337523656145,1.0,false,1.0,false,grid_1s,usdt_curve_2023
curve_3pool,usdt_mint_burn,26,-0.9289095112580884,1.0,false,1.0,false,grid_1s,usdt_curve_2023
uniswap_usdc_usdt_005,usdt_binance,-52,0.48978850096198917,0.17,false,1.0,false,grid_1s,usdt_curve_2023
uniswap_usdc_usdt_005,usdt_kraken,1,0.991342285637312,0.0,true,0.0,true,grid_1s,usdt_curve_2023
uniswap_usdc_usdt_005,curve_3pool,-22,-0.9276878572755862,1.0,false,1.0,false,grid_1s,usdt_curve_2023
uniswap_usdc_usdt_005,curve_crvusd_usdt,-52,0.9095433972824674,1.0,false,1.0,false,grid_1s,usdt_curve_2023
uniswap_usdc_usdt_005,tron_usdt_exchange_flows,5,0.9996649555941155,1.0,false,1.0,false,grid_1s,usdt_curve_2023
uniswap_usdc_usdt_005,usdt_mint_burn,4,0.9996554507467164,1.0,false,1.0,false,grid_1s,usdt_curve_2023
curve_crvusd_usdt,usdt_binance,1,-0.6329829673329966,1.0,false,1.0,false,grid_1s,usdt_curve_2023
curve_crvusd_usdt,usdt_kraken,53,-0.902181048611174,1.0,false,1.0,false,grid_1s,usdt_curve_2023
curve_crvusd_usdt,curve_3pool,36,0.3263705906620653,1.0,false,1.0,false,grid_1s,usdt_curve_2023
curve_crvusd_usdt,uniswap_usdc_usdt_005,52,0.9095433972824675,1.0,false,1.0,false,grid_1s,usdt_curve_2023
curve_crvusd_usdt,tron_usdt_exchange_flows,55,-0.9439946426371127,1.0,false,1.0,false,grid_1s,usdt_curve_2023
curve_crvusd_usdt,usdt_mint_burn,55,-0.9413872020665746,1.0,false,1.0,false,grid_1s,usdt_curve_2023
tron_usdt_exchange_flows,usdt_binance,-31,-0.9598665292559911,1.0,false,1.0,false,grid_1s,usdt_curve_2023
tron_usdt_exchange_flows,usdt_kraken,-5,0.9921637416385805,1.0,false,1.0,false,grid_1s,usdt_curve_2023
tron_usdt_exchange_flows,curve_3pool,-27,-0.9276337523656147,1.0,false,1.0,false,grid_1s,usdt_curve_2023
tron_usdt_exchange_flows,uniswap_usdc_usdt_005,-5,0.9996649555941154,1.0,false,1.0,false,grid_1s,usdt_curve_2023
tron_usdt_exchange_flows,curve_crvusd_usdt,-55,-0.9439946426371127,1.0,false,1.0,false,grid_1s,usdt_curve_2023
tron_usdt_exchange_flows,usdt_mint_burn,-1,0.9999999999999998,1.0,false,1.0,false,grid_1s,usdt_curve_2023
usdt_mint_burn,usdt_binance,-31,-0.958012013037072,1.0,false,1.0,false,grid_1s,usdt_curve_2023
usdt_mint_burn,usdt_kraken,-4,0.9921678465602984,1.0,false,1.0,false,grid_1s,usdt_curve_2023
usdt_mint_burn,curve_3pool,-26,-0.9289095112580883,1.0,false,1.0,false,grid_1s,usdt_curve_2023
usdt_mint_burn,uniswap_usdc_usdt_005,-4,0.9996554507467162,1.0,false,1.0,false,grid_1s,usdt_curve_2023
usdt_mint_burn,curve_crvusd_usdt,-55,-0.9413872020665744,1.0,false,1.0,false,grid_1s,usdt_curve_2023
usdt_mint_burn,tron_usdt_exchange_flows,1,0.9999999999999998,1.0,false,1.0,false,grid_1s,usdt_curve_2023
usdt_binance,usdt_kraken,41,0.49362359719141735,0.175,false,1.0,false,grid_5s,usdt_curve_2023
usdt_binance,curve_3pool,-1,-0.4455943930050632,0.335,false,1.0,false,grid_5s,usdt_curve_2023
usdt_binance,uniswap_usdc_usdt_005,52,0.48978850096198917,0.19,false,1.0,false,grid_5s,usdt_curve_2023
usdt_binance,curve_crvusd_usdt,-1,-0.6329829673329966,1.0,false,1.0,false,grid_5s,usdt_curve_2023
usdt_binance,tron_usdt_exchange_flows,31,-0.9598665292559911,1.0,false,1.0,false,grid_5s,usdt_curve_2023
usdt_binance,usdt_mint_burn,31,-0.9580120130370718,1.0,false,1.0,false,grid_5s,usdt_curve_2023
usdt_kraken,usdt_binance,-41,0.49362359719141735,0.13,false,1.0,false,grid_5s,usdt_curve_2023
usdt_kraken,curve_3pool,-23,-0.9150640918269919,1.0,false,1.0,false,grid_5s,usdt_curve_2023
usdt_kraken,uniswap_usdc_usdt_005,-1,0.991342285637312,0.0,true,0.0,true,grid_5s,usdt_curve_2023
usdt_kraken,curve_crvusd_usdt,-53,-0.9021810486111741,1.0,false,1.0,false,grid_5s,usdt_curve_2023
usdt_kraken,tron_usdt_exchange_flows,5,0.9921637416385805,1.0,false,1.0,false,grid_5s,usdt_curve_2023
usdt_kraken,usdt_mint_burn,4,0.9921678465602984,1.0,false,1.0,false,grid_5s,usdt_curve_2023
curve_3pool,usdt_binance,1,-0.4455943930050632,0.095,false,1.0,false,grid_5s,usdt_curve_2023
curve_3pool,usdt_kraken,23,-0.9150640918269918,1.0,false,1.0,false,grid_5s,usdt_curve_2023
curve_3pool,uniswap_usdc_usdt_005,22,-0.9276878572755863,1.0,false,1.0,false,grid_5s,usdt_curve_2023
curve_3pool,curve_crvusd_usdt,-36,0.3263705906620653,1.0,false,1.0,false,grid_5s,usdt_curve_2023
curve_3pool,tron_usdt_exchange_flows,27,-0.9276337523656145,1.0,false,1.0,false,grid_5s,usdt_curve_2023
curve_3pool,usdt_mint_burn,26,-0.9289095112580884,1.0,false,1.0,false,grid_5s,usdt_curve_2023
uniswap_usdc_usdt_005,usdt_binance,-52,0.48978850096198917,0.17,false,1.0,false,grid_5s,usdt_curve_2023
uniswap_usdc_usdt_005,usdt_kraken,1,0.991342285637312,0.0,true,0.0,true,grid_5s,usdt_curve_2023
uniswap_usdc_usdt_005,curve_3pool,-22,-0.9276878572755862,1.0,false,1.0,false,grid_5s,usdt_curve_2023
uniswap_usdc_usdt_005,curve_crvusd_usdt,-52,0.9095433972824674,1.0,false,1.0,false,grid_5s,usdt_curve_2023
uniswap_usdc_usdt_005,tron_usdt_exchange_flows,5,0.9996649555941155,1.0,false,1.0,false,grid_5s,usdt_curve_2023
uniswap_usdc_usdt_005,usdt_mint_burn,4,0.9996554507467164,1.0,false,1.0,false,grid_5s,usdt_curve_2023
curve_crvusd_usdt,usdt_binance,1,-0.6329829673329966,1.0,false,1.0,false,grid_5s,usdt_curve_2023
curve_crvusd_usdt,usdt_kraken,53,-0.902181048611174,1.0,false,1.0,false,grid_5s,usdt_curve_2023
curve_crvusd_usdt,curve_3pool,36,0.3263705906620653,1.0,false,1.0,false,grid_5s,usdt_curve_2023
curve_crvusd_usdt,uniswap_usdc_usdt_005,52,0.9095433972824675,1.0,false,1.0,false,grid_5s,usdt_curve_2023
curve_crvusd_usdt,tron_usdt_exchange_flows,55,-0.9439946426371127,1.0,false,1.0,false,grid_5s,usdt_curve_2023
curve_crvusd_usdt,usdt_mint_burn,55,-0.9413872020665746,1.0,false,1.0,false,grid_5s,usdt_curve_2023
tron_usdt_exchange_flows,usdt_binance,-31,-0.9598665292559911,1.0,false,1.0,false,grid_5s,usdt_curve_2023
tron_usdt_exchange_flows,usdt_kraken,-5,0.9921637416385805,1.0,false,1.0,false,grid_5s,usdt_curve_2023
tron_usdt_exchange_flows,curve_3pool,-27,-0.9276337523656147,1.0,false,1.0,false,grid_5s,usdt_curve_2023
tron_usdt_exchange_flows,uniswap_usdc_usdt_005,-5,0.9996649555941154,1.0,false,1.0,false,grid_5s,usdt_curve_2023
tron_usdt_exchange_flows,curve_crvusd_usdt,-55,-0.9439946426371127,1.0,false,1.0,false,grid_5s,usdt_curve_2023
tron_usdt_exchange_flows,usdt_mint_burn,-1,0.9999999999999998,1.0,false,1.0,false,grid_5s,usdt_curve_2023
usdt_mint_burn,usdt_binance,-31,-0.958012013037072,1.0,false,1.0,false,grid_5s,usdt_curve_2023
usdt_mint_burn,usdt_kraken,-4,0.9921678465602984,1.0,false,1.0,false,grid_5s,usdt_curve_2023
usdt_mint_burn,curve_3pool,-26,-0.9289095112580883,1.0,false,1.0,false,grid_5s,usdt_curve_2023
usdt_mint_burn,uniswap_usdc_usdt_005,-4,0.9996554507467162,1.0,false,1.0,false,grid_5s,usdt_curve_2023
usdt_mint_burn,curve_crvusd_usdt,-55,-0.9413872020665744,1.0,false,1.0,false,grid_5s,usdt_curve_2023
usdt_mint_burn,tron_usdt_exchange_flows,1,0.9999999999999998,1.0,false,1.0,false,grid_5s,usdt_curve_2023
usdt_binance,usdt_kraken,41,0.49362359719141735,0.175,false,1.0,false,grid_60s,usdt_curve_2023
usdt_binance,curve_3pool,-1,-0.4455943930050632,0.335,false,1.0,false,grid_60s,usdt_curve_2023
usdt_binance,uniswap_usdc_usdt_005,52,0.48978850096198917,0.19,false,1.0,false,grid_60s,usdt_curve_2023
usdt_binance,curve_crvusd_usdt,-1,-0.6329829673329966,1.0,false,1.0,false,grid_60s,usdt_curve_2023
usdt_binance,tron_usdt_exchange_flows,31,-0.9598665292559911,1.0,false,1.0,false,grid_60s,usdt_curve_2023
usdt_binance,usdt_mint_burn,31,-0.9580120130370718,1.0,false,1.0,false,grid_60s,usdt_curve_2023
usdt_kraken,usdt_binance,-41,0.49362359719141735,0.13,false,1.0,false,grid_60s,usdt_curve_2023
usdt_kraken,curve_3pool,-23,-0.9150640918269919,1.0,false,1.0,false,grid_60s,usdt_curve_2023
usdt_kraken,uniswap_usdc_usdt_005,-1,0.991342285637312,0.0,true,0.0,true,grid_60s,usdt_curve_2023
usdt_kraken,curve_crvusd_usdt,-53,-0.9021810486111741,1.0,false,1.0,false,grid_60s,usdt_curve_2023
usdt_kraken,tron_usdt_exchange_flows,5,0.9921637416385805,1.0,false,1.0,false,grid_60s,usdt_curve_2023
usdt_kraken,usdt_mint_burn,4,0.9921678465602984,1.0,false,1.0,false,grid_60s,usdt_curve_2023
curve_3pool,usdt_binance,1,-0.4455943930050632,0.095,false,1.0,false,grid_60s,usdt_curve_2023
curve_3pool,usdt_kraken,23,-0.9150640918269918,1.0,false,1.0,false,grid_60s,usdt_curve_2023
curve_3pool,uniswap_usdc_usdt_005,22,-0.9276878572755863,1.0,false,1.0,false,grid_60s,usdt_curve_2023
curve_3pool,curve_crvusd_usdt,-36,0.3263705906620653,1.0,false,1.0,false,grid_60s,usdt_curve_2023
curve_3pool,tron_usdt_exchange_flows,27,-0.9276337523656145,1.0,false,1.0,false,grid_60s,usdt_curve_2023
curve_3pool,usdt_mint_burn,26,-0.9289095112580884,1.0,false,1.0,false,grid_60s,usdt_curve_2023
uniswap_usdc_usdt_005,usdt_binance,-52,0.48978850096198917,0.17,false,1.0,false,grid_60s,usdt_curve_2023
uniswap_usdc_usdt_005,usdt_kraken,1,0.991342285637312,0.0,true,0.0,true,grid_60s,usdt_curve_2023
uniswap_usdc_usdt_005,curve_3pool,-22,-0.9276878572755862,1.0,false,1.0,false,grid_60s,usdt_curve_2023
