train_event,test_event,kl_divergence,mmd,auroc,auprc,auroc_degradation
usdt_curve_2023,terra_luna_2022,27.3306,0.185929,0.9594,0.3983,-0.4594
usdt_curve_2023,ftx_2022,10.451,0.108458,0.4366,0.0744,0.0634
usdt_curve_2023,busd_2023,5.5498,0.227992,0.462,0.0685,0.038
usdt_curve_2023,usdc_svb_2023,15.1108,0.198979,0.8382,0.5223,-0.3382
terra_luna_2022,usdt_curve_2023,27.3306,0.458516,0.9016,0.6986,-0.4016
terra_luna_2022,ftx_2022,1.4176,0.074951,0.4342,0.074,0.0658
terra_luna_2022,busd_2023,5.5018,0.513138,0.3544,0.0562,0.1456
terra_luna_2022,usdc_svb_2023,1.1649,0.22249,0.7631,0.4346,-0.2631
ftx_2022,usdt_curve_2023,10.451,0.216519,0.2616,0.1158,0.2384
ftx_2022,terra_luna_2022,1.4176,0.064415,0.0408,0.0319,0.4592
ftx_2022,busd_2023,2.1684,0.385938,0.5998,0.1465,-0.0998
ftx_2022,usdc_svb_2023,0.879,0.220561,0.1839,0.0947,0.3161
busd_2023,usdt_curve_2023,5.5498,0.238578,0.1296,0.1008,0.3704
busd_2023,terra_luna_2022,5.5018,0.481709,0.0325,0.0316,0.4675
busd_2023,ftx_2022,2.1684,0.389099,0.5619,0.0987,-0.0619
busd_2023,usdc_svb_2023,1.5642,0.078045,0.2731,0.1173,0.2269
usdc_svb_2023,usdt_curve_2023,15.1108,0.247145,0.8227,0.3911,-0.3227
usdc_svb_2023,terra_luna_2022,1.1649,0.225795,0.9055,0.2277,-0.4055
usdc_svb_2023,ftx_2022,0.879,0.199024,0.4023,0.0805,0.0977
usdc_svb_2023,busd_2023,1.5642,0.090455,0.6505,0.1099,-0.1505
