node_i,node_j,feature_col,grid_seconds,te_i_to_j,p_value,p_value_block,significant_p05,p_value_fdr,significant_fdr,p_value_block_fdr,significant_block_fdr,p_bonferroni,significant_bonferroni,te_estimator,event_id,event_phase
usdt_binance,eth_usdc_exchange_flows,basis_vs_usd,60,0.8774785097214607,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,ftx_2022,all
eth_usdc_exchange_flows,usdt_binance,basis_vs_usd,60,0.8685348126556105,0.005,1.0,true,0.008333333333333333,true,1.0,false,0.15,false,binned_discrete,ftx_2022,all
usdt_binance,eth_usdt_exchange_flows,basis_vs_usd,60,0.8608730900086761,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,ftx_2022,all
eth_bridge_flows,usdt_binance,basis_vs_usd,60,0.8566537917750783,0.02,0.47,true,0.03,true,0.7725000000000001,false,0.6,false,binned_discrete,ftx_2022,all
eth_usdt_exchange_flows,usdt_binance,basis_vs_usd,60,0.8300245720676711,0.045,1.0,true,0.061363636363636356,false,1.0,false,1.0,false,binned_discrete,ftx_2022,all
curve_3pool,eth_bridge_flows,basis_vs_usd,60,0.8136507855588685,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,ftx_2022,all
usdt_binance,eth_bridge_flows,basis_vs_usd,60,0.747004172296398,0.005,0.0,true,0.008333333333333333,true,0.0,true,0.15,false,binned_discrete,ftx_2022,all
eth_usdc_exchange_flows,eth_bridge_flows,basis_vs_usd,60,0.723777405177394,0.025,0.0,true,0.03571428571428571,true,0.0,true,0.75,false,binned_discrete,ftx_2022,all
eth_bridge_flows,curve_3pool,basis_vs_usd,60,0.6920025226325262,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,ftx_2022,all
curve_3pool,eth_usdc_exchange_flows,basis_vs_usd,60,0.6661474885756017,0.115,0.58,false,0.14375000000000002,false,0.8285714285714285,false,1.0,false,binned_discrete,ftx_2022,all
curve_3pool,eth_usdt_exchange_flows,basis_vs_usd,60,0.6640096880104234,0.205,0.0,false,0.24599999999999997,false,0.0,true,1.0,false,binned_discrete,ftx_2022,all
busd_binance,eth_usdt_exchange_flows,basis_vs_usd,60,0.6405806666618468,0.0,0.44,true,0.0,true,0.7725000000000001,false,0.0,true,binned_discrete,ftx_2022,all
eth_bridge_flows,eth_usdc_exchange_flows,basis_vs_usd,60,0.6233279026388193,0.41,1.0,false,0.47307692307692306,false,1.0,false,1.0,false,binned_discrete,ftx_2022,all
eth_usdc_exchange_flows,curve_3pool,basis_vs_usd,60,0.6225528630797045,0.01,0.0,true,0.015789473684210527,true,0.0,true,0.3,false,binned_discrete,ftx_2022,all
eth_usdt_exchange_flows,eth_bridge_flows,basis_vs_usd,60,0.6089515809411403,0.66,0.495,false,0.7333333333333334,false,0.7725000000000001,false,1.0,false,binned_discrete,ftx_2022,all
busd_binance,eth_usdc_exchange_flows,basis_vs_usd,60,0.6036417106777843,0.0,0.515,true,0.0,true,0.7725000000000001,false,0.0,true,binned_discrete,ftx_2022,all
busd_binance,eth_bridge_flows,basis_vs_usd,60,0.5888166671866968,0.0,0.465,true,0.0,true,0.7725000000000001,false,0.0,true,binned_discrete,ftx_2022,all
eth_usdt_exchange_flows,curve_3pool,basis_vs_usd,60,0.5718952157397137,0.105,1.0,false,0.13695652173913042,false,1.0,false,1.0,false,binned_discrete,ftx_2022,all
eth_bridge_flows,eth_usdt_exchange_flows,basis_vs_usd,60,0.5519503121387397,0.94,1.0,false,1.0,false,1.0,false,1.0,false,binned_discrete,ftx_2022,all
eth_usdc_exchange_flows,eth_usdt_exchange_flows,basis_vs_usd,60,0.39683723080774724,1.0,0.515,false,1.0,false,0.7725000000000001,false,1.0,false,binned_discrete,ftx_2022,all
eth_usdt_exchange_flows,eth_usdc_exchange_flows,basis_vs_usd,60,0.36119867085910395,1.0,0.0,false,1.0,false,0.0,true,1.0,false,binned_discrete,ftx_2022,all
curve_3pool,usdt_binance,basis_vs_usd,60,0.2308131783076961,0.0,1.0,true,0.0,true,1.0,false,0.0,true,binned_discrete,ftx_2022,all
eth_bridge_flows,busd_binance,basis_vs_usd,60,0.22317414952788356,0.0,0.505,true,0.0,true,0.7725000000000001,false,0.0,true,binned_discrete,ftx_2022,all
eth_usdt_exchange_flows,busd_binance,basis_vs_usd,60,0.18916900601831124,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,ftx_2022,all
usdt_binance,curve_3pool,basis_vs_usd,60,0.16200981051960195,0.0,0.995,true,0.0,true,1.0,false,0.0,true,binned_discrete,ftx_2022,all
eth_usdc_exchange_flows,busd_binance,basis_vs_usd,60,0.14168231549790072,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,ftx_2022,all
busd_binance,curve_3pool,basis_vs_usd,60,0.050181971903104916,0.0,0.83,true,0.0,true,1.0,false,0.0,true,binned_discrete,ftx_2022,all
busd_binance,usdt_binance,basis_vs_usd,60,0.034495181249955265,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,ftx_2022,all
curve_3pool,busd_binance,basis_vs_usd,60,0.02554126281212077,0.0,0.675,true,0.0,true,0.9204545454545454,false,0.0,true,binned_discrete,ftx_2022,all
usdt_binance,busd_binance,basis_vs_usd,60,0.020888768332277652,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,ftx_2022,all
