node_i,node_j,feature_col,grid_seconds,te_i_to_j,p_value,p_value_block,significant_p05,p_value_fdr,significant_fdr,p_value_block_fdr,significant_block_fdr,p_bonferroni,significant_bonferroni,te_estimator,event_id,event_phase
usdt_binance,curve_3pool,basis_vs_usd,60,0.12097578032496104,0.0,0.73,true,0.0,true,1.0,false,0.0,true,binned_discrete,terra_luna_2022,all
usdt_binance,curve_ust_wormhole,basis_vs_usd,60,0.12097578032496104,0.0,0.735,true,0.0,true,1.0,false,0.0,true,binned_discrete,terra_luna_2022,all
curve_3pool,ust_binance,basis_vs_usd,60,0.0774129939923881,0.0,0.6,true,0.0,true,1.0,false,0.0,true,binned_discrete,terra_luna_2022,all
curve_ust_wormhole,ust_binance,basis_vs_usd,60,0.0774129939923881,0.0,0.57,true,0.0,true,1.0,false,0.0,true,binned_discrete,terra_luna_2022,all
ust_binance,curve_3pool,basis_vs_usd,60,0.07243837052910496,0.0,0.84,true,0.0,true,1.0,false,0.0,true,binned_discrete,terra_luna_2022,all
ust_binance,curve_ust_wormhole,basis_vs_usd,60,0.07243837052910496,0.0,0.88,true,0.0,true,1.0,false,0.0,true,binned_discrete,terra_luna_2022,all
curve_3pool,usdt_binance,basis_vs_usd,60,0.043385291474494964,0.0,0.99,true,0.0,true,1.0,false,0.0,true,binned_discrete,terra_luna_2022,all
curve_ust_wormhole,usdt_binance,basis_vs_usd,60,0.043385291474494964,0.0,0.99,true,0.0,true,1.0,false,0.0,true,binned_discrete,terra_luna_2022,all
ust_binance,usdt_binance,basis_vs_usd,60,0.01689984876014608,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,terra_luna_2022,all
usdt_binance,ust_binance,basis_vs_usd,60,0.01623249088140527,0.0,0.48,true,0.0,true,1.0,false,0.0,true,binned_discrete,terra_luna_2022,all
curve_3pool,curve_ust_wormhole,basis_vs_usd,60,0.0,1.0,1.0,false,1.0,false,1.0,false,1.0,false,binned_discrete,terra_luna_2022,all
curve_ust_wormhole,curve_3pool,basis_vs_usd,60,0.0,1.0,1.0,false,1.0,false,1.0,false,1.0,false,binned_discrete,terra_luna_2022,all
