node_i,node_j,feature_col,grid_seconds,te_i_to_j,p_value,p_value_block,significant_p05,p_value_fdr,significant_fdr,p_value_block_fdr,significant_block_fdr,p_bonferroni,significant_bonferroni,te_estimator,event_id,event_phase,tier_i_actual,tier_j_actual,edge_tier_actual,uses_fixture,feature_tier,provenance_claim_allowed,claim_allowed,claim_level,claim_language,claim_reason,claim_sentence,statistical_claim_allowed,paper_claim_allowed,claim_strength,window_start_override,window_end_override,sub_window
eth_bridge_flows,usdc_coinbase,basis_vs_usd,60,1.0187114799479962,0.0,0.465,true,0.0,true,0.948409090909091,false,0.0,true,binned_discrete,usdc_svb_2023,all,fixture_non_empirical,B,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,true,false,descriptive,,,usdc_svb_2023 [full]
eth_usdt_exchange_flows,usdc_coinbase,basis_vs_usd,60,1.0009287979156647,0.0,0.57,true,0.0,true,0.9665217391304346,false,0.0,true,binned_discrete,usdc_svb_2023,all,B,B,B,false,B,true,true,B_B_context_only,B/B context-only,Both endpoints are Tier B; use contextual language.,We document contextual co-movement between eth_usdt_exchange_flows and usdc_coinbase (Tier B proxy data).,true,true,statistically_supported,,,usdc_svb_2023 [full]
usdc_mint_burn,usdc_coinbase,basis_vs_usd,60,1.0009287979156647,0.0,0.505,true,0.0,true,0.948409090909091,false,0.0,true,binned_discrete,usdc_svb_2023,all,A,B,B,false,B,true,true,A_B_suggestive_directional,A/B suggestive,Edge is capped by the Tier B endpoint.,We find suggestive timing evidence of stress propagation from usdc_mint_burn to usdc_coinbase.,true,true,statistically_supported,,,usdc_svb_2023 [full]
eth_usdc_exchange_flows,usdc_coinbase,basis_vs_usd,60,0.9579613982794604,0.0,0.51,true,0.0,true,0.948409090909091,false,0.0,true,binned_discrete,usdc_svb_2023,all,B,B,B,false,B,true,true,B_B_context_only,B/B context-only,Both endpoints are Tier B; use contextual language.,We document contextual co-movement between eth_usdc_exchange_flows and usdc_coinbase (Tier B proxy data).,true,true,statistically_supported,,,usdc_svb_2023 [full]
usdc_coinbase,eth_bridge_flows,basis_vs_usd,60,0.8340558098775875,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,usdc_svb_2023,all,B,fixture_non_empirical,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,true,false,descriptive,,,usdc_svb_2023 [full]
usdc_coinbase,eth_usdt_exchange_flows,basis_vs_usd,60,0.8212111209933268,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,usdc_svb_2023,all,B,B,B,false,B,true,true,B_B_context_only,B/B context-only,Both endpoints are Tier B; use contextual language.,We document contextual co-movement between usdc_coinbase and eth_usdt_exchange_flows (Tier B proxy data).,true,true,statistically_supported,,,usdc_svb_2023 [full]
usdc_coinbase,usdc_mint_burn,basis_vs_usd,60,0.8212111209933268,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,usdc_svb_2023,all,B,A,B,false,B,true,true,A_B_suggestive_directional,A/B suggestive,Edge is capped by the Tier B endpoint.,We find suggestive timing evidence of stress propagation from usdc_coinbase to usdc_mint_burn.,true,true,statistically_supported,,,usdc_svb_2023 [full]
curve_3pool,eth_bridge_flows,basis_vs_usd,60,0.8136507855588685,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,usdc_svb_2023,all,A,fixture_non_empirical,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,true,false,descriptive,,,usdc_svb_2023 [full]
usdc_kraken,eth_bridge_flows,basis_vs_usd,60,0.8025027908417921,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,usdc_svb_2023,all,fixture_non_empirical,fixture_non_empirical,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,true,false,descriptive,,,usdc_svb_2023 [full]
usdc_coinbase,eth_usdc_exchange_flows,basis_vs_usd,60,0.7996064302109468,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,usdc_svb_2023,all,B,B,B,false,B,true,true,B_B_context_only,B/B context-only,Both endpoints are Tier B; use contextual language.,We document contextual co-movement between usdc_coinbase and eth_usdc_exchange_flows (Tier B proxy data).,true,true,statistically_supported,,,usdc_svb_2023 [full]
usdt_kraken,eth_bridge_flows,basis_vs_usd,60,0.7455015220363616,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,usdc_svb_2023,all,fixture_non_empirical,fixture_non_empirical,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,true,false,descriptive,,,usdc_svb_2023 [full]
usdt_kraken,eth_usdc_exchange_flows,basis_vs_usd,60,0.7411016572388253,0.005,0.0,true,0.00951219512195122,true,0.0,true,0.39,false,binned_discrete,usdc_svb_2023,all,fixture_non_empirical,B,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,true,false,descriptive,,,usdc_svb_2023 [full]
uniswap_usdc_usdt_005,eth_bridge_flows,basis_vs_usd,60,0.738292108434515,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,usdc_svb_2023,all,fixture_non_empirical,fixture_non_empirical,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,true,false,descriptive,,,usdc_svb_2023 [full]
eth_bridge_flows,usdc_kraken,basis_vs_usd,60,0.7338173399336586,0.055,0.0,false,0.09976744186046511,false,0.0,true,1.0,false,binned_discrete,usdc_svb_2023,all,fixture_non_empirical,fixture_non_empirical,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,true,false,descriptive,,,usdc_svb_2023 [full]
uniswap_usdc_usdt_005,eth_usdc_exchange_flows,basis_vs_usd,60,0.7282203704136561,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,usdc_svb_2023,all,fixture_non_empirical,B,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,true,false,descriptive,,,usdc_svb_2023 [full]
eth_usdc_exchange_flows,eth_bridge_flows,basis_vs_usd,60,0.723777405177394,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,usdc_svb_2023,all,B,fixture_non_empirical,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,true,false,descriptive,,,usdc_svb_2023 [full]
eth_usdc_exchange_flows,usdt_kraken,basis_vs_usd,60,0.7131263793177948,0.07,0.0,false,0.12409090909090911,false,0.0,true,1.0,false,binned_discrete,usdc_svb_2023,all,B,fixture_non_empirical,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,true,false,descriptive,,,usdc_svb_2023 [full]
eth_bridge_flows,usdt_kraken,basis_vs_usd,60,0.7103883185679926,0.155,1.0,false,0.251875,false,1.0,false,1.0,false,binned_discrete,usdc_svb_2023,all,fixture_non_empirical,fixture_non_empirical,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,false,false,descriptive,,,usdc_svb_2023 [full]
eth_bridge_flows,curve_3pool,basis_vs_usd,60,0.6920025226325262,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,usdc_svb_2023,all,fixture_non_empirical,A,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,true,false,descriptive,,,usdc_svb_2023 [full]
usdt_kraken,eth_usdt_exchange_flows,basis_vs_usd,60,0.679390183413011,0.16,0.0,false,0.2546938775510204,false,0.0,true,1.0,false,binned_discrete,usdc_svb_2023,all,fixture_non_empirical,B,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,true,false,descriptive,,,usdc_svb_2023 [full]
usdt_kraken,usdc_mint_burn,basis_vs_usd,60,0.679390183413011,0.105,0.0,false,0.182,false,0.0,true,1.0,false,binned_discrete,usdc_svb_2023,all,fixture_non_empirical,A,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,true,false,descriptive,,,usdc_svb_2023 [full]
usdc_kraken,eth_usdc_exchange_flows,basis_vs_usd,60,0.6688855493244189,0.11,0.0,false,0.1865217391304348,false,0.0,true,1.0,false,binned_discrete,usdc_svb_2023,all,fixture_non_empirical,B,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,true,false,descriptive,,,usdc_svb_2023 [full]
curve_3pool,eth_usdc_exchange_flows,basis_vs_usd,60,0.6661474885756017,0.165,0.505,false,0.2574,false,0.948409090909091,false,1.0,false,binned_discrete,usdc_svb_2023,all,A,B,B,false,B,true,true,A_B_suggestive_directional,A/B suggestive,Edge is capped by the Tier B endpoint.,We find suggestive timing evidence of stress propagation from curve_3pool to eth_usdc_exchange_flows.,false,false,suggestive,,,usdc_svb_2023 [full]
eth_usdt_exchange_flows,usdt_kraken,basis_vs_usd,60,0.6649679405582671,0.455,1.0,false,0.5818032786885247,false,1.0,false,1.0,false,binned_discrete,usdc_svb_2023,all,B,fixture_non_empirical,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,false,false,descriptive,,,usdc_svb_2023 [full]
usdc_mint_burn,usdt_kraken,basis_vs_usd,60,0.6649679405582671,0.505,1.0,false,0.6353225806451613,false,1.0,false,1.0,false,binned_discrete,usdc_svb_2023,all,A,fixture_non_empirical,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,false,false,descriptive,,,usdc_svb_2023 [full]
curve_3pool,eth_usdt_exchange_flows,basis_vs_usd,60,0.6640096880104234,0.18,0.0,false,0.26490566037735847,false,0.0,true,1.0,false,binned_discrete,usdc_svb_2023,all,A,B,B,false,B,true,true,A_B_suggestive_directional,A/B suggestive,Edge is capped by the Tier B endpoint.,We find suggestive timing evidence of stress propagation from curve_3pool to eth_usdt_exchange_flows.,true,true,statistically_supported,,,usdc_svb_2023 [full]
curve_3pool,usdc_mint_burn,basis_vs_usd,60,0.6640096880104234,0.18,0.0,false,0.26490566037735847,false,0.0,true,1.0,false,binned_discrete,usdc_svb_2023,all,A,A,B,false,B,true,true,A_B_suggestive_directional,A/B suggestive,"Node tiers are A/A but feature 'basis_vs_usd' is Tier B (derived proxy), so edge is capped to A/B.",We find suggestive timing evidence of stress propagation from curve_3pool to usdc_mint_burn.,true,true,statistically_supported,,,usdc_svb_2023 [full]
eth_usdt_exchange_flows,usdc_kraken,basis_vs_usd,60,0.6588631712694202,0.4,0.525,false,0.5379310344827587,false,0.948409090909091,false,1.0,false,binned_discrete,usdc_svb_2023,all,B,fixture_non_empirical,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,false,false,descriptive,,,usdc_svb_2023 [full]
usdc_mint_burn,usdc_kraken,basis_vs_usd,60,0.6588631712694202,0.375,0.465,false,0.5223214285714286,false,0.948409090909091,false,1.0,false,binned_discrete,usdc_svb_2023,all,A,fixture_non_empirical,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,false,false,descriptive,,,usdc_svb_2023 [full]
usdc_kraken,eth_usdt_exchange_flows,basis_vs_usd,60,0.6525944535102555,0.255,0.0,false,0.36833333333333335,false,0.0,true,1.0,false,binned_discrete,usdc_svb_2023,all,fixture_non_empirical,B,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,true,false,descriptive,,,usdc_svb_2023 [full]
usdc_kraken,usdc_mint_burn,basis_vs_usd,60,0.6525944535102555,0.27,0.0,false,0.382909090909091,false,0.0,true,1.0,false,binned_discrete,usdc_svb_2023,all,fixture_non_empirical,A,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,true,false,descriptive,,,usdc_svb_2023 [full]
eth_usdc_exchange_flows,uniswap_usdc_usdt_005,basis_vs_usd,60,0.6336350771752801,0.0,0.55,true,0.0,true,0.9533333333333335,false,0.0,true,binned_discrete,usdc_svb_2023,all,B,fixture_non_empirical,fixture_non_empirical,true,B,false,false,fixture_disallowed,not claimable (fixture),At least one endpoint is deterministic fixture data.,Not claimable: fixture data.,true,false,descriptive,,,usdc_svb_2023 [full]
