window_center,caused_node,causing_node,fevd_share,method,event_id,tier_i_actual,tier_j_actual,edge_tier_actual,uses_fixture,claim_allowed,claim_level,claim_reason,claim_language,claim_sentence
-129600.0,usdt_binance,usdt_binance,0.000755592096427141,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdt_binance and usdt_binance (Tier B proxy data).
-129600.0,usdt_binance,busd_binance,1.5321054324308034e-6,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between busd_binance and usdt_binance (Tier B proxy data).
-129600.0,usdt_binance,curve_3pool,0.9992428757981402,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between curve_3pool and usdt_binance (Tier B proxy data).
-129600.0,busd_binance,usdt_binance,0.0007484566034592769,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdt_binance and busd_binance (Tier B proxy data).
-129600.0,busd_binance,busd_binance,0.0010717119111521962,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between busd_binance and busd_binance (Tier B proxy data).
-129600.0,busd_binance,curve_3pool,0.9981798314853885,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between curve_3pool and busd_binance (Tier B proxy data).
-129600.0,curve_3pool,usdt_binance,0.0007543649997816156,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdt_binance and curve_3pool (Tier B proxy data).
-129600.0,curve_3pool,busd_binance,0.0035530882420869905,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between busd_binance and curve_3pool (Tier B proxy data).
-129600.0,curve_3pool,curve_3pool,0.9956925467581312,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between curve_3pool and curve_3pool (Tier B proxy data).
-43200.0,usdt_binance,usdt_binance,0.04477064199802987,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdt_binance and usdt_binance (Tier B proxy data).
-43200.0,usdt_binance,busd_binance,0.13879777370479238,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between busd_binance and usdt_binance (Tier B proxy data).
-43200.0,usdt_binance,curve_3pool,0.8164315842971774,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between curve_3pool and usdt_binance (Tier B proxy data).
-43200.0,busd_binance,usdt_binance,0.044576513184285384,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdt_binance and busd_binance (Tier B proxy data).
-43200.0,busd_binance,busd_binance,0.17053981079806194,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between busd_binance and busd_binance (Tier B proxy data).
-43200.0,busd_binance,curve_3pool,0.7848836760176524,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between curve_3pool and busd_binance (Tier B proxy data).
-43200.0,curve_3pool,usdt_binance,0.04348342205295097,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdt_binance and curve_3pool (Tier B proxy data).
-43200.0,curve_3pool,busd_binance,0.20396719813759395,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between busd_binance and curve_3pool (Tier B proxy data).
-43200.0,curve_3pool,curve_3pool,0.7525493798094547,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between curve_3pool and curve_3pool (Tier B proxy data).
50400.0,usdt_binance,usdt_binance,0.02161535187643976,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdt_binance and usdt_binance (Tier B proxy data).
50400.0,usdt_binance,busd_binance,0.08066648985417833,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between busd_binance and usdt_binance (Tier B proxy data).
50400.0,usdt_binance,curve_3pool,0.897718158269382,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between curve_3pool and usdt_binance (Tier B proxy data).
50400.0,busd_binance,usdt_binance,0.023529323657151362,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdt_binance and busd_binance (Tier B proxy data).
50400.0,busd_binance,busd_binance,0.08388218281783677,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between busd_binance and busd_binance (Tier B proxy data).
50400.0,busd_binance,curve_3pool,0.8925884935250118,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between curve_3pool and busd_binance (Tier B proxy data).
50400.0,curve_3pool,usdt_binance,0.025689819805120123,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdt_binance and curve_3pool (Tier B proxy data).
50400.0,curve_3pool,busd_binance,0.08699346200804535,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between busd_binance and curve_3pool (Tier B proxy data).
50400.0,curve_3pool,curve_3pool,0.8873167181868344,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between curve_3pool and curve_3pool (Tier B proxy data).
136800.0,usdt_binance,usdt_binance,0.022691345727095986,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdt_binance and usdt_binance (Tier B proxy data).
136800.0,usdt_binance,busd_binance,0.1530939931444736,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between busd_binance and usdt_binance (Tier B proxy data).
136800.0,usdt_binance,curve_3pool,0.8242146611284304,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between curve_3pool and usdt_binance (Tier B proxy data).
136800.0,busd_binance,usdt_binance,0.029092794890515236,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdt_binance and busd_binance (Tier B proxy data).
136800.0,busd_binance,busd_binance,0.11888379961659014,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between busd_binance and busd_binance (Tier B proxy data).
136800.0,busd_binance,curve_3pool,0.8520234054928947,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between curve_3pool and busd_binance (Tier B proxy data).
136800.0,curve_3pool,usdt_binance,0.03595494542215799,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdt_binance and curve_3pool (Tier B proxy data).
136800.0,curve_3pool,busd_binance,0.09505368461093577,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between busd_binance and curve_3pool (Tier B proxy data).
136800.0,curve_3pool,curve_3pool,0.8689913699669062,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between curve_3pool and curve_3pool (Tier B proxy data).
223200.0,usdt_binance,usdt_binance,0.02259023315707803,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdt_binance and usdt_binance (Tier B proxy data).
223200.0,usdt_binance,busd_binance,0.15864128169837055,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between busd_binance and usdt_binance (Tier B proxy data).
223200.0,usdt_binance,curve_3pool,0.8187684851445515,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between curve_3pool and usdt_binance (Tier B proxy data).
223200.0,busd_binance,usdt_binance,0.028683312627169916,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdt_binance and busd_binance (Tier B proxy data).
223200.0,busd_binance,busd_binance,0.1274467829983003,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between busd_binance and busd_binance (Tier B proxy data).
223200.0,busd_binance,curve_3pool,0.8438699043745298,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between curve_3pool and busd_binance (Tier B proxy data).
223200.0,curve_3pool,usdt_binance,0.035317564004587416,tvp_var_rolling,ftx_2022,B,B,B,false,true,B_B_context_only,"Both endpoints are Tier B, so use contextual language.",context-only,We document contextual co-movement between usdt_binance and curve_3pool (Tier B proxy data).
