caused_node,causing_node,fevd_share_mean,fevd_share_max,fevd_share_std,n_windows,method,event_id,tier_i_actual,tier_j_actual,edge_tier_actual,uses_fixture,claim_allowed,claim_level,claim_reason,claim_language,claim_sentence,feature_tier,provenance_claim_allowed,statistical_claim_allowed,paper_claim_allowed,claim_strength
curve_3pool,ust_binance,0.5759449392390328,0.763975423791042,0.14899263823234568,5,tvp_var_rolling,terra_luna_2022,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from ust_binance to curve_3pool.,B,true,false,false,suggestive
curve_ust_wormhole,ust_binance,0.5664704881237882,0.786623736610004,0.16451367561615957,5,tvp_var_rolling,terra_luna_2022,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from ust_binance to curve_ust_wormhole.,B,true,false,false,suggestive
usdt_binance,ust_binance,0.4373881993310257,0.8199278717573394,0.2541109206658624,5,tvp_var_rolling,terra_luna_2022,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between ust_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive
usdt_binance,curve_ust_wormhole,0.26219778952339834,0.7001589166653172,0.2511135618776713,5,tvp_var_rolling,terra_luna_2022,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_ust_wormhole to usdt_binance.,B,true,false,false,suggestive
ust_binance,curve_3pool,0.23026195529992943,0.5397226522127684,0.20810952015210535,5,tvp_var_rolling,terra_luna_2022,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to ust_binance.,B,true,false,false,suggestive
curve_ust_wormhole,curve_3pool,0.225800414599525,0.3204038304999162,0.08952353894740502,5,tvp_var_rolling,terra_luna_2022,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_ust_wormhole.,B,true,false,false,suggestive
usdt_binance,curve_3pool,0.17102268495673836,0.3934551128896572,0.17113270001063552,5,tvp_var_rolling,terra_luna_2022,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,false,false,suggestive
ust_binance,curve_ust_wormhole,0.13038951449375005,0.21644296418065823,0.06533065479862595,5,tvp_var_rolling,terra_luna_2022,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_ust_wormhole to ust_binance.,B,true,false,false,suggestive
ust_binance,usdt_binance,0.1239420366915466,0.35721879485493757,0.13830898835167887,5,tvp_var_rolling,terra_luna_2022,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and ust_binance (Tier B proxy data).,B,true,false,false,descriptive
curve_ust_wormhole,usdt_binance,0.12268694218667461,0.2964070731162601,0.11515309958428221,5,tvp_var_rolling,terra_luna_2022,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_ust_wormhole.,B,true,false,false,suggestive
curve_3pool,usdt_binance,0.09451938635949182,0.2546648962325785,0.09234398401728904,5,tvp_var_rolling,terra_luna_2022,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_3pool.,B,true,false,false,suggestive
curve_3pool,curve_ust_wormhole,0.09417154685853409,0.12942905710512054,0.03834787631400612,5,tvp_var_rolling,terra_luna_2022,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_ust_wormhole to curve_3pool.,B,true,false,false,suggestive
