caused_node,causing_node,fevd_share,horizon,method,feature_col,bucket_seconds,event_id,tier_i_actual,tier_j_actual,edge_tier_actual,uses_fixture,claim_allowed,claim_level,claim_reason,claim_language,claim_sentence,feature_tier,provenance_claim_allowed,statistical_claim_allowed,paper_claim_allowed,claim_strength
usdc_coinbase,usdc_coinbase,0.0470229220758573,10,fevd,basis_vs_usd,3600,usdc_svb_2023,,,,,,,,,,,,,,
usdc_coinbase,usdc_binance,0.9529770779241429,10,fevd,basis_vs_usd,3600,usdc_svb_2023,,,,,,,,,,,,,,
usdc_binance,usdc_coinbase,0.08951537959609504,10,fevd,basis_vs_usd,3600,usdc_svb_2023,,,,,,,,,,,,,,
usdc_binance,usdc_binance,0.9104846204039051,10,fevd,basis_vs_usd,3600,usdc_svb_2023,,,,,,,,,,,,,,
usdt_binance,usdt_binance,0.024638401113310233,10,fevd,basis_vs_usd,3600,terra_luna_2022,,,,,,,,,,,,,,
usdt_binance,ust_binance,0.9753615988866896,10,fevd,basis_vs_usd,3600,terra_luna_2022,,,,,,,,,,,,,,
ust_binance,usdt_binance,0.01921688124911755,10,fevd,basis_vs_usd,3600,terra_luna_2022,,,,,,,,,,,,,,
ust_binance,ust_binance,0.9807831187508823,10,fevd,basis_vs_usd,3600,terra_luna_2022,,,,,,,,,,,,,,
curve_crvusd_usdt,curve_crvusd_usdt,0.00993432268035821,10,fevd,,,usdt_curve_2023,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_crvusd_usdt to curve_crvusd_usdt.,B,true,false,false,suggestive
curve_crvusd_usdt,curve_3pool,0.03265400764119675,10,fevd,,,usdt_curve_2023,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_crvusd_usdt.,B,true,false,false,suggestive
curve_crvusd_usdt,usdt_binance,0.9574116696784449,10,fevd,,,usdt_curve_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_crvusd_usdt.,B,true,false,false,suggestive
curve_3pool,curve_crvusd_usdt,0.018798421515766425,10,fevd,,,usdt_curve_2023,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_crvusd_usdt to curve_3pool.,B,true,false,false,suggestive
curve_3pool,curve_3pool,0.09859791071394547,10,fevd,,,usdt_curve_2023,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_3pool.,B,true,false,false,suggestive
curve_3pool,usdt_binance,0.882603667770288,10,fevd,,,usdt_curve_2023,B,A,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from usdt_binance to curve_3pool.,B,true,false,false,suggestive
usdt_binance,curve_crvusd_usdt,0.026448308919823055,10,fevd,,,usdt_curve_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_crvusd_usdt to usdt_binance.,B,true,false,false,suggestive
usdt_binance,curve_3pool,0.13971692716495235,10,fevd,,,usdt_curve_2023,A,B,B,false,true,A_B_suggestive_directional,Edge is capped by the Tier B endpoint.,A/B suggestive,We find suggestive timing evidence of stress propagation from curve_3pool to usdt_binance.,B,true,false,false,suggestive
usdt_binance,usdt_binance,0.8338347639152245,10,fevd,,,usdt_curve_2023,B,B,B,false,true,B_B_context_only,Both endpoints are Tier B; use contextual language.,B/B context-only,We document contextual co-movement between usdt_binance and usdt_binance (Tier B proxy data).,B,true,false,false,descriptive
usdt_binance,usdt_binance,0.0018997171871740631,10,fevd,basis_vs_usd,3600,ftx_2022,,,,,,,,,,,,,,
usdt_binance,busd_binance,0.998100282812826,10,fevd,basis_vs_usd,3600,ftx_2022,,,,,,,,,,,,,,
busd_binance,usdt_binance,0.021275747094179637,10,fevd,basis_vs_usd,3600,ftx_2022,,,,,,,,,,,,,,
busd_binance,busd_binance,0.9787242529058204,10,fevd,basis_vs_usd,3600,ftx_2022,,,,,,,,,,,,,,
busd_binance,busd_binance,0.12921590527873575,10,fevd,basis_vs_usd,3600,busd_2023,,,,,,,,,,,,,,
busd_binance,usdc_binance,0.8707840947212644,10,fevd,basis_vs_usd,3600,busd_2023,,,,,,,,,,,,,,
usdc_binance,busd_binance,0.08083498857767592,10,fevd,basis_vs_usd,3600,busd_2023,,,,,,,,,,,,,,
usdc_binance,usdc_binance,0.9191650114223241,10,fevd,basis_vs_usd,3600,busd_2023,,,,,,,,,,,,,,
